keyword,keywordType,avgSentiment,totalRT,totalFav,totalPop,topTweet,topRT,topFav,topPop,company,date
#NBA2K15,HASHTAG,0.320961033,1876,1659,1798,RT NBA2K: #NBA2K15 is partnering with amazongames for a 35-hour sale at $35 in honor of 35's return. #YourTimeHasCome KDTrey5 http://t.c�,1656,1286,1526,Amazon,5/3/2015
@NBA2K,USERNAME,0,1876,1659,1798,RT NBA2K: #NBA2K15 is partnering with amazongames for a 35-hour sale at $35 in honor of 35's return. #YourTimeHasCome KDTrey5 http://t.c�,1656,1286,1526,Amazon,8/5/2015
Happy,OTHER,0.062764075,1635,2106,1793,Happy #NationalDrinkWineDay! What color is in your glass? http://t.co/RuyQX8MEBX,419,268,366,Amazon,28/05/2015
@dragonage,USERNAME,-0.035890788,2605,285,1792,RT amazongames: Follow &amp; RT for a chance to win dragonage Inquisition for #PS4 or #XboxOne #12DaysofGiveaways http://t.co/TTxlAqMmwo http�,2605,285,1792,Amazon,3/12/2014
http://t.co/ho17SI4FMy,LINK,0,2549,376,1788,RT amazongames: Remember #E3 2002? Follow &amp; RT for a chance to win a WaveBird. WiiU compatible! #CountdownToE3 http://t.co/ho17SI4FMy http�,2549,376,1788,Amazon,19/12/2014
WaveBird,OTHER,0.441551745,2549,376,1788,RT amazongames: Remember #E3 2002? Follow &amp; RT for a chance to win a WaveBird. WiiU compatible! #CountdownToE3 http://t.co/ho17SI4FMy http�,2549,376,1788,Amazon,24/12/2014
http://t.co/76HUOSZq7m,LINK,0,2598,267,1782,Follow amazon and retweet for a chance to win http://t.co/76HUOSZq7m   Rules http://t.co/4z05LXiZ6C #AmazonSweeps http://t.co/Zv0Ygchk50,2598,267,1782,Amazon,3/12/2014
http://t.co/4z05LXiZ6C,LINK,0,2598,267,1782,Follow amazon and retweet for a chance to win http://t.co/76HUOSZq7m   Rules http://t.co/4z05LXiZ6C #AmazonSweeps http://t.co/Zv0Ygchk50,2598,267,1782,Amazon,18/12/2014
http://t.co/Zv0Ygchk50,LINK,0,2598,267,1782,Follow amazon and retweet for a chance to win http://t.co/76HUOSZq7m   Rules http://t.co/4z05LXiZ6C #AmazonSweeps http://t.co/Zv0Ygchk50,2598,267,1782,Amazon,12/12/2014
@Plugable,USERNAME,0.551939681,2525,367,1769,RT Amazon3PSellers: RT + Follow for a chance to win a Plugable 3-Port Charger Cup NoPurchNec #AmazonSweeps Rules:http://t.co/4UVrgTNcNl h�,1389,209,976,Amazon,3/12/2014
#ShadowofMordor,HASHTAG,0.220775873,2532,309,1753,RT amazongames: Follow &amp; RT for a chance to win middleearthgame #ShadowofMordor for #PS4 or #XboxOne. http://t.co/TVhf0jnFtN http://t.co/�,2512,290,1734,Amazon,15/12/2014
@middleearthgame,USERNAME,0.441551745,2512,290,1734,RT amazongames: Follow &amp; RT for a chance to win middleearthgame #ShadowofMordor for #PS4 or #XboxOne. http://t.co/TVhf0jnFtN http://t.co/�,2512,290,1734,Amazon,14/01/2015
http://t.co/EAchj6TJnN,LINK,0,2499,293,1726,Follow amazon and retweet for a chance to win http://t.co/b5vtgT1sIJ  Rules http://t.co/EAchj6TJnN #AmazonSweeps http://t.co/mavct6AFis,1424,185,990,Amazon,18/12/2014
#FarCry4,HASHTAG,0.441551745,2401,284,1660,RT amazongames: More #12DaysOfGiveaways! Follow &amp; RT for a chance to win #FarCry4 for #PS4 or #XboxOne. http://t.co/5Z2q2W2rM1 http://t.co�,2401,284,1660,Amazon,8/12/2014
#WiiU,HASHTAG,0.441551745,2383,275,1645,RT amazongames: Day 4 of #12DaysofGiveaways:Follow &amp; RT for a chance to win #SuperSmashBros for #WiiU. http://t.co/gwhVLBIXQp http://t.co�,2383,275,1645,Amazon,12/12/2014
#SuperSmashBros,HASHTAG,0.441551745,2383,275,1645,RT amazongames: Day 4 of #12DaysofGiveaways:Follow &amp; RT for a chance to win #SuperSmashBros for #WiiU. http://t.co/gwhVLBIXQp http://t.co�,2383,275,1645,Amazon,8/12/2014
http://t.co/gwhVLBIXQp,LINK,0,2383,275,1645,RT amazongames: Day 4 of #12DaysofGiveaways:Follow &amp; RT for a chance to win #SuperSmashBros for #WiiU. http://t.co/gwhVLBIXQp http://t.co�,2383,275,1645,Amazon,24/06/2015
