keyword,keywordType,avgSentiment,totalRT,totalFav,totalPop,topTweet,topRT,topFav,topPop
http://t.co/Hw0ZCWlW0K,LINK,0,1254,1869,1469,RT Xbox: Our first draft pick is in.Meet the #XboxOne EAMaddenNFL 15 Bundle: http://t.co/jdYzPJBPt1 http://t.co/Hw0ZCWlW0K,1254,1869,1469
Office,OTHER,1.90E-10,5295,3981,4816,"RT Office: More than 12 million downloads of Word, Excel, PPT &amp; OneNote for #iPad from the AppStore &lt;3 #OfficeforiPad http://t.co/iT2egNP•À_",974,390,769
#HourofCode,HASHTAG,0.039,2336,2447,2374,RT BillGates: http://t.co/elZN60oCSj's tools are way better than what these guys started with•À_ http://t.co/7uWVuYKjqy  #HourofCode http://•À_,1381,1581,1451
#MSCloud,HASHTAG,0,1527,875,1294,"RT MSFTnews: Yes, you heard that right. More than 20% of Azure VMs run on Linux. Live webcast: http://t.co/mYbIjv2mfK #MSCloud http://t.c•À_",566,270,462
#StarWarsDay,HASHTAG,0,10193,5584,8579,RT Windows: May the 4th be with you. #StarWarsDay #Windows #OneDrive http://t.co/b0VaGbkfnQ,10193,5584,8579
http://t.co/3sfPvrdOGM,LINK,0,6459,10287,7798,We're challenging you to learn coding with #hourofcode. Here's how you can get started: http://t.co/Hmsryi4bt6 http://t.co/3sfPvrdOGM,6459,10287,7798
http://t.co/6m8SIy4Uua,LINK,0,4642,6150,5169,RT Xbox: Scorpion? You'd better believe it. #MortalKombat10 comes to #Xbox in 2015. http://t.co/6m8SIy4Uua #XboxE3 http://t.co/AXtUB5NdmJ,4642,6150,5169
updates,OTHER,0.057333824,2726,2288,2568,RT Windows: We're moments from sharing the latest updates on #Windows10. Watch our live stream: http://t.co/2xfBkN9we2 http://t.co/dv9hK3x•À_,913,579,796
Flipboard style,OTHER,0,529,4161,1800,"Microsoft news, Flipboard style http://t.co/0pskJjMG4L",529,4161,1800
http://t.co/LDPSJF6pUH,LINK,0,8488,3289,6668,RT Windows: Introducing the best one yet. #Windows10 http://t.co/LDPSJF6pUH,8488,3289,6668
#empowering,HASHTAG,5.61E-17,17450,34025,23213,Watch it again: the #empowering story of Braylon O'Neill.https://t.co/yWd0iW3GdJ,13108,27276,18066
:),OTHER,0.003191855,1557,1669,1563,"RT nokia: Something old, something new :) #TBT http://t.co/QLUoOigDpX",413,459,429
SpaceX,OTHER,-0.027500004,1247,1432,1311,RT NASA: A pair of HoloLens is flying on SpaceX #Dragon Sunday to aid Space_Station crews: http://t.co/83PNxj3Ojp Skypehttps://t.co/V•À_,894,1070,955
https://t.co/yow5a5dJRO,LINK,0,2196,3339,2596,Everyone Starts Somewhere: Start coding with an #HourOfCode https://t.co/yow5a5dJRO,2196,3339,2596
XboxEntertain,OTHER,0,2293,1635,2060,RT XboxEntertain: #TheInterview is available today on #XboxVideo and on http://t.co/z0Uqvv6A3m. http://t.co/mnDwPuepko http://t.co/FYlq2IN•À_,1528,1038,1356
Bing,OTHER,-1.29E-04,1829,1968,1871,What's cooler than being cool? Ice cold. Caption this Bing homepage image: http://t.co/Np83W23qCP,157,237,185
first product,OTHER,0.414312005,5219,3676,4678,"RT PaulGAllen: 40 years ago Microsoft began, what a journey! Here is the title page from Microsoft's first product BASIC http://t.co/xJyOo•À_",5219,3676,4678
#MortalKombat10,HASHTAG,0,4642,6150,5169,RT Xbox: Scorpion? You'd better believe it. #MortalKombat10 comes to #Xbox in 2015. http://t.co/6m8SIy4Uua #XboxE3 http://t.co/AXtUB5NdmJ,4642,6150,5169
http://t.co/Ey2hMUccDv,LINK,0,2192,2249,2211,RT Xbox: The Halo JourneyFind out what the future holds: http://t.co/xfz3QmsVEX http://t.co/Ey2hMUccDv,2192,2249,2211
http://t.co/0pskJjMG4L,LINK,0,529,4161,1800,"Microsoft news, Flipboard style http://t.co/0pskJjMG4L",529,4161,1800
Minecraft,OTHER,0,3422,3397,3413,RT HoloLens: It's official: Minecraft is coming to Microsoft #HoloLens. #XboxE3 http://t.co/VSyAlmdu2s,3422,3397,3413
interested,OTHER,0.060694958,1990,1229,1718,7 out of 10 girls are interested in science. Only 2 of 10 will pursue it as a career. Let's change that. #IWD2015https://t.co/sSx1Z1hlLv,1974,1209,1706
https://t.co/sSx1Z1hlLv,LINK,0,1974,1209,1706,7 out of 10 girls are interested in science. Only 2 of 10 will pursue it as a career. Let's change that. #IWD2015https://t.co/sSx1Z1hlLv,1974,1209,1706
http://t.co/xfz3QmsVEX,LINK,0,2192,2249,2211,RT Xbox: The Halo JourneyFind out what the future holds: http://t.co/xfz3QmsVEX http://t.co/Ey2hMUccDv,2192,2249,2211
#DoMore,HASHTAG,1.78E-11,2700,3813,3073,"Henry Ford II built more than 1,000 bikes to keep Detroit on the move. #DoMorehttps://t.co/yhklWN6coI",341,382,355
http://t.co/3ufMk24hxJ,LINK,0,3479,4223,3739,"Introducing Microsoft Band, powered by Microsoft Health: http://t.co/FhJ78F7yqL http://t.co/3ufMk24hxJ",3479,4223,3739
Halo,OTHER,0,1489,1950,1648,RT Halo: The Halo 5: Guardians Multiplayer Beta is now live. Step into the Arena and join the action! http://t.co/VZ1BIKtEGY,1098,1426,1212
https://t.co/QxMzoK136G,LINK,0,5539,10491,7272,Introducing Microsoft Bandhttps://t.co/QxMzoK136G,5539,10491,7272
"""3D printing used to be my hobby. Now it's my job.""",OTHER,0,612,1330,861,"""3D printing used to be my hobby. Now it's my job."" http://t.co/hfBQ7R9T6W #ICreatedThis http://t.co/MFjSYC5Fuz",178,816,401
nokia,OTHER,0.003712123,2922,2954,2928,RT nokia: The #Lumia Cyan update with Windows Phone 8.1 and Lumia features starts rolling out today! http://t.co/3FUfUoID7F http://t.co/YM•À_,1124,761,996
http://t.co/vATmIndEAb,LINK,0,1806,2942,2203,RT Xbox: End 2014 with a bang.The #Halo 5: Guardians multiplayer beta is live: http://t.co/vATmIndEAb http://t.co/qVBqmHUe7V,1806,2942,2203
#Cortana,HASHTAG,1.45E-07,5065,3828,4617,RT windowsphone: Meet #Cortana.•À_#bldwin #WindowsPhone http://t.co/yBOYDIVhga,1220,626,1012
#IWD2015,HASHTAG,0,1974,1209,1706,7 out of 10 girls are interested in science. Only 2 of 10 will pursue it as a career. Let's change that. #IWD2015https://t.co/sSx1Z1hlLv,1974,1209,1706
historic moment,OTHER,0.298817009,1996,2788,2272,RT satyanadella: A historic moment and step forward for equality in America. #LoveWins,998,1394,1136
verge,OTHER,5.95E-04,1610,1320,1505,RT verge: Skype's newest app will translate your speech in real-time http://t.co/nel8KgGUPi http://t.co/Z0d8WyOMN5,603,437,544
#e,HASHTAG,0,1814,1908,1846,"RT satyanadella: Thank you to our customers, partners &amp; employees who made 40 yrs of Microsoft possible! Look forward to the next 40 &amp; #e•À_",1814,1908,1846
https://t.co/RGPxWS1mWX,LINK,0,1492,804,1251,RT Windows: Microsoft Edge unveiled as the new browser for #Windows10. https://t.co/RGPxWS1mWX #Build2015,1492,804,1251
#5to9,HASHTAG,1.66E-07,2724,2059,2486,Your passions never clock out. How do you own your #5to9? http://t.co/ZsBvT6HVDd,1936,745,1519
Hewlett-Packard,OTHER,0.396451165,649,591,627,RT tomwarren: HP just unveiled the cutest Windows PC ever and it only costs $180 http://t.co/UaFVjYQbM7 http://t.co/XteUgIiCoA,427,388,413
http://t.co/D3dFJM4gYH,LINK,0,1215,1726,1393,RT Xbox: #XboxOne gamers logged 189M hours (21k years) in the first 2 weeks of December. http://t.co/D3dFJM4gYH,1215,1726,1393
available today,OTHER,0.251406258,3190,2178,2834,RT XboxEntertain: #TheInterview is available today on #XboxVideo and on http://t.co/z0Uqvv6A3m. http://t.co/mnDwPuepko http://t.co/FYlq2IN•À_,1528,1038,1356
BillGates,OTHER,0,4434,4470,4446,RT BillGates: http://t.co/elZN60oCSj's tools are way better than what these guys started with•À_ http://t.co/7uWVuYKjqy  #HourofCode http://•À_,1381,1581,1451
upgrade,OTHER,0.600000024,8017,5825,7248,"RT Windows: Summer just got an upgrade. #Windows10 will release worldwide on July 29, 2015: http://t.co/lY2QFwk1mj http://t.co/VaytYlCeaR",7279,5110,6519
http://t.co/FhJ78F7yqL,LINK,0,3479,4223,3739,"Introducing Microsoft Band, powered by Microsoft Health: http://t.co/FhJ78F7yqL http://t.co/3ufMk24hxJ",3479,4223,3739
http://t.co/jf8B5U5um4,LINK,0,1587,1085,1411,RT Dropbox: We're partnering with Microsoft to combine the power of Dropbox and Office! http://t.co/zLDyNRIvt6 http://t.co/jf8B5U5um4,1587,1085,1411
https://t.co,LINK,0,922,839,892,"RT surface: Meet the new Surface 3, a perfect balance of performance and value. From $499. Learn more: http://t.co/ZATp3NqYndhttps://t.co•À_",876,759,835
Excited,OTHER,0.116666668,1101,832,1005,RT HoloLens: Excited about what cwru will do w/ #Windows10 &amp; #HoloLens to advance medical education beyond what's possible now. http://t.•À_,438,385,419
celebrating,OTHER,0.574999988,1469,1662,1536,RT Xbox: Today you're not gaming. You're celebrating. #VideoGameDay http://t.co/2cKVksW1cU,1409,1587,1471
#Dragon,HASHTAG,-0.327500015,1788,2140,1910,RT NASA: A pair of HoloLens is flying on SpaceX #Dragon Sunday to aid Space_Station crews: http://t.co/83PNxj3Ojp Skypehttps://t.co/V•À_,894,1070,955
#HUNTtheTRUTH,HASHTAG,0.399499953,708,1764,1076,"RT Xbox: #HUNTtheTRUTH on iTunesPodcasts, where you can subscribe &amp; listen to all 8 episodes: http://t.co/hemkRDUNDm http://t.co/xjc3rEBY•À_",354,882,538
CEO,OTHER,1.13E-04,1203,1658,1359,RT DangeRussWilson: Honor being on stage with Microsoft CEO SatyaNadella for #CONV2015 in Atlanta! http://t.co/3640dSnRH6,282,680,421
http://t.co/qWQ2m09TqB,LINK,0,654,461,586,RT Windows: #Build2015 is now beginning. Livestream the keynote for #Windows10 updates: http://t.co/qWQ2m09TqB http://t.co/vDlA9OUgDj,654,461,586
passions,OTHER,0.326666673,2102,1051,1733,Your passions never clock out. How do you own your #5to9? http://t.co/ZsBvT6HVDd,1936,745,1519
#HourOfCode,HASHTAG,0,2596,3735,2994,Everyone Starts Somewhere: Start coding with an #HourOfCode https://t.co/yow5a5dJRO,2196,3339,2596
#gearup,HASHTAG,-0.001701385,988,2224,1412,VIDEO: A group of seniors #gearup for back to school and get ready for the big transition to college. http://t.co/kgP119xHDX #bts,147,753,359
Skype,OTHER,0.002013732,7768,7726,7736,"RT Skype: In light of the tragic events in Nepal, all Skype calls to landlines &amp; mobiles in &amp; out of Nepal are free. More: [http://t.co/pz•À_",1716,969,1454
#OfficeforiPad,HASHTAG,0.031358514,2070,1411,1836,"RT Office: More than 12 million downloads of Word, Excel, PPT &amp; OneNote for #iPad from the AppStore &lt;3 #OfficeforiPad http://t.co/iT2egNP•À_",974,390,769
perfect,OTHER,0.047073056,1670,1690,1670,"RT surface: Meet the new Surface 3, a perfect balance of performance and value. From $499. Learn more: http://t.co/ZATp3NqYndhttps://t.co•À_",876,759,835
WindowsPhone,OTHER,2.41E-04,4025,3289,3746,RT Windows: Introducing #Cortana: Your new best friend on WindowsPhone. #BLDWIN http://t.co/mYrWSxUsXm,799,402,660
first draft,OTHER,0.245259002,1254,1869,1469,RT Xbox: Our first draft pick is in.Meet the #XboxOne EAMaddenNFL 15 Bundle: http://t.co/jdYzPJBPt1 http://t.co/Hw0ZCWlW0K,1254,1869,1469
favorite,OTHER,0.024078676,846,1196,956,RT ghennigan: We don't need to see any more commercials to pick our favorite. Microsoft http://t.co/059oI7axku,87,167,115
Holographic computing,OTHER,0,3834,2159,3247,"Holographic computing is here, enabled by Windows 10. Watch the webcast live: http://t.co/Riqn6Hh6WH http://t.co/T66YR0AyGl",3834,2159,3247
aid,OTHER,0.49000001,894,1070,955,RT NASA: A pair of HoloLens is flying on SpaceX #Dragon Sunday to aid Space_Station crews: http://t.co/83PNxj3Ojp Skypehttps://t.co/V•À_,894,1070,955
Big news,OTHER,0.440000013,1397,1624,1475,RT Xbox: New games. Big news. Watch this year's #XboxE3 broadcast LIVE beginning 9AM PT: http://t.co/AfGMdsO2W2 http://t.co/8ydvDQgkG8,1333,1578,1418
live stream,OTHER,-0.002886288,913,579,796,RT Windows: We're moments from sharing the latest updates on #Windows10. Watch our live stream: http://t.co/2xfBkN9we2 http://t.co/dv9hK3x•À_,913,579,796
draft pick,OTHER,0.245259002,1254,1869,1469,RT Xbox: Our first draft pick is in.Meet the #XboxOne EAMaddenNFL 15 Bundle: http://t.co/jdYzPJBPt1 http://t.co/Hw0ZCWlW0K,1254,1869,1469
windowsblog,OTHER,-8.33E-04,727,668,702,RT windowsblog: Keyboard Shortcuts in the Windows 10 Technical Preview http://t.co/iV3JQ2EKFP,136,128,133
handsome,OTHER,0.600000024,1323,2110,1598,"RT Xbox: Fun, dark, and handsome.Get your #XboxOne starting at $399: http://t.co/modOWfkVVX http://t.co/E6dRo7t0lg",1323,2110,1598
Ford,OTHER,0.150000006,1112,1631,1292,"RT Ford: You really can't go wrong with Explorer or Edge, Microsoft. http://t.co/8YPBUISbWo",418,528,456
Dropbox,OTHER,0,1740,1224,1559,RT Dropbox: We're partnering with Microsoft to combine the power of Dropbox and Office! http://t.co/zLDyNRIvt6 http://t.co/jf8B5U5um4,1587,1085,1411
#backtoschool,HASHTAG,5.89E-10,779,943,828,Capture your summer with Windows Phone. http://t.co/SsnGxZU7cp  #backtoschool #gearup http://t.co/ljtIgdMf1P,81,122,95
Live webcast,OTHER,0,903,456,744,"RT MSFTnews: Yes, you heard that right. More than 20% of Azure VMs run on Linux. Live webcast: http://t.co/mYbIjv2mfK #MSCloud http://t.c•À_",566,270,462
PaulGAllen,OTHER,0,5219,3676,4678,"RT PaulGAllen: 40 years ago Microsoft began, what a journey! Here is the title page from Microsoft's first product BASIC http://t.co/xJyOo•À_",5219,3676,4678
http://t.co/Riqn6Hh6WH,LINK,0,3834,2159,3247,"Holographic computing is here, enabled by Windows 10. Watch the webcast live: http://t.co/Riqn6Hh6WH http://t.co/T66YR0AyGl",3834,2159,3247
Nerdist,OTHER,0.88310349,6487,1049,4583,RT Xbox: Not at #SDCC?RT this for a chance to win a Nerdist collectible #XboxOne! #XboxSweeps Rules: http://t.co/ftud2pAH3d http://t.co/•À_,6487,1049,4583
http://t.co/VaytYlCeaR,LINK,0,7279,5110,6519,"RT Windows: Summer just got an upgrade. #Windows10 will release worldwide on July 29, 2015: http://t.co/lY2QFwk1mj http://t.co/VaytYlCeaR",7279,5110,6519
love,OTHER,0.002870749,2183,2687,2274,RT satyanadella: Our ambition is for you to love Windows and make it home - sign up to be an Insider. http://t.co/qWsXiv4GJq #Windows10,736,610,691
#Surface,HASHTAG,0.006690178,1916,2624,2158,RT surface: In 24 hours we'll be kicking back watching the Livestream of our #Surface New York event. http://t.co/v7wj0Feoe0 http://t.co/K•À_,352,1095,612
http://t.co/jdYzPJBPt1,LINK,0,1254,1869,1469,RT Xbox: Our first draft pick is in.Meet the #XboxOne EAMaddenNFL 15 Bundle: http://t.co/jdYzPJBPt1 http://t.co/Hw0ZCWlW0K,1254,1869,1469
Seahawks,OTHER,0,1993,3281,2442,See how the NFL uses Surface through the lens of DangeRussWilson and the Seahawks.https://t.co/xLBdyYeRy2,1748,2704,2082
http://t.co/yBOYDIVhga,LINK,0,1220,626,1012,RT windowsphone: Meet #Cortana.•À_#bldwin #WindowsPhone http://t.co/yBOYDIVhga,1220,626,1012
gorgeous,OTHER,0.600000024,1099,505,890,RT surface: The multi-position kickstand on #SurfacePro3 is gorgeous and productive at any angle. http://t.co/xcMDiDQ1vz,558,263,454
NFL,OTHER,0.084696368,3546,4589,3905,See how the NFL uses Surface through the lens of DangeRussWilson and the Seahawks.https://t.co/xLBdyYeRy2,1748,2704,2082
onedrive,OTHER,1.10E-12,2807,2188,2583,RT onedrive: Your #OneDrive just got bigger. http://t.co/TROfUN3d55 #moreforyou http://t.co/GBO0XeEUsl,929,544,794
