keyword,keywordType,avgSentiment,totalRT,totalFav,totalPop,topTweet,topRT,topFav,topPop
win,OTHER,0.002072968,155718,28413,111061,RT amazongames: Follow &amp; RT to enter for a chance to win a skinned #ESO Xbox One or PS4! #AmazonSweeps http://t.co/Cv2XauGZt0 http://t.co/•À_,10785,1728,7615
@amazongames,USERNAME,7.09E-06,56850,11628,41001,RT amazongames: Follow &amp; RT to enter for a chance to win a skinned #ESO Xbox One or PS4! #AmazonSweeps http://t.co/Cv2XauGZt0 http://t.co/•À_,10785,1728,7615
#AmazonSweeps,HASHTAG,1.09E-04,77967,10330,54275,RT amazongames: Follow &amp; RT to enter for a chance to win a skinned #ESO Xbox One or PS4! #AmazonSweeps http://t.co/Cv2XauGZt0 http://t.co/•À_,10785,1728,7615
#PS4,HASHTAG,0.009287143,23207,3069,16156,RT amazongames: Follow &amp; RT for a chance to win a #PS4 or #XboxOne bundle! #AmazonSweeps #12DaysOfGiveaways http://t.co/148D86kSW6 http://•À_,9352,1387,6564
#12DaysOfGiveaways,HASHTAG,0.019011256,21867,2926,15234,RT amazongames: Follow &amp; RT for a chance to win a #PS4 or #XboxOne bundle! #AmazonSweeps #12DaysOfGiveaways http://t.co/148D86kSW6 http://•À_,9352,1387,6564
#AmazonGiveaway,HASHTAG,0.001824723,28102,9222,21435,RT Amazon3PSellers: RT + Follow for a chance to win a SoundBlock Wireless Speaker NoPurchNec #AmazonGiveaway Rules:http://t.co/ASgnloi2K9 •À_,2263,280,1568
@Amazon3PSellers,USERNAME,2.79E-10,26717,4268,18842,RT Amazon3PSellers: RT + Follow for a chance to win a SoundBlock Wireless Speaker NoPurchNec #AmazonGiveaway Rules:http://t.co/ASgnloi2K9 •À_,2263,280,1568
http•À_,LINK,-7.04E-06,8914,2082,6516,RT amazongames: Remember #E3 2002? Follow &amp; RT for a chance to win a WaveBird. WiiU compatible! #CountdownToE3 http://t.co/ho17SI4FMy http•À_,2549,376,1788
@amazon,USERNAME,1.88E-16,15332,5771,11947,Follow amazon and retweet for a chance to win http://t.co/76HUOSZq7m   Rules http://t.co/4z05LXiZ6C #AmazonSweeps http://t.co/Zv0Ygchk50,2598,267,1782
Amazon.com,OTHER,2.83E-05,8356,19267,12116,RT ActuallyNPH: My birthday is Monday so today is your last day to get free shipping with Amazon Prime. Please plan and shop accordingly.•À_,1185,7943,3550
Inquisition,OTHER,-0.564666659,2628,314,1817,RT amazongames: Follow &amp; RT for a chance to win dragonage Inquisition for #PS4 or #XboxOne #12DaysofGiveaways http://t.co/TTxlAqMmwo http•À_,2605,285,1792
@jackeryinc,USERNAME,0.070013212,5551,812,3890,RT Amazon3PSellers: RT + Follow for a chance to win this bundle from jackeryinc! NoPurchNec #AmazonSweeps Rules: http://t.co/16cDbC25A2 h•À_,1521,219,1065
@Amazon,USERNAME,1.79E-05,28531,5798,20560,RT FallonTonight: Win from home! Five fans can win Bose speakers from Amazon by replying to us and using #FallonStockingSweeps! #FallonT•À_,1951,706,1515
#XboxOne,HASHTAG,0.090464324,21053,2727,14637,RT amazongames: Follow &amp; RT for a chance to win a #PS4 or #XboxOne bundle! #AmazonSweeps #12DaysOfGiveaways http://t.co/148D86kSW6 http://•À_,9352,1387,6564
#CountdownToE3,HASHTAG,0,5641,784,3940,RT amazongames: Remember #E3 2003? Follow &amp; RT for a chance to win a PlayStation Portable. #CountdownToE3 http://t.co/ho17SHN4V0 http://t.•À_,3092,408,2152
@ActuallyNPH,USERNAME,0.0377695,1193,8043,3590,RT ActuallyNPH: My birthday is Monday so today is your last day to get free shipping with Amazon Prime. Please plan and shop accordingly.•À_,1185,7943,3550
sweet,OTHER,0.072347918,5827,1059,4155,RT amazongames: Follow &amp; RT for a chance to win a sweet gaming headset from turtlebeach. #12DaysOfGiveaways http://t.co/PapkqENpmW http:/•À_,3362,422,2332
@Halo,USERNAME,0.441551745,2393,250,1642,RT amazongames: Follow &amp; RT for a chance to win Halo The Master Chief Collection #12DaysOfGiveaways http://t.co/MUsBzljfOF http://t.co/uo•À_,2393,250,1642
#ESO,HASHTAG,0.88310349,10785,1728,7615,RT amazongames: Follow &amp; RT to enter for a chance to win a skinned #ESO Xbox One or PS4! #AmazonSweeps http://t.co/Cv2XauGZt0 http://t.co/•À_,10785,1728,7615
#CandyBracket,HASHTAG,9.62E-04,5343,4506,5041,Twix is in it for the win! RT for a chance to win this #CandyBracket #AmazonSweeps Rules: https://t.co/roi2BWGHav http://t.co/9YIEOHSKV6,997,143,698
htt•À_,OTHER,0.05631306,3968,1111,2964,RT amazon_movies: Followers who RT have a shot 2 win this http://t.co/tTepUyqlg5 NoPurchNec http://t.co/8JglzS8hsq #giveaway #MachoMan htt•À_,1975,399,1423
http://t.co/EAchj6TJnN,LINK,0,2499,293,1726,Follow amazon and retweet for a chance to win http://t.co/b5vtgT1sIJ  Rules http://t.co/EAchj6TJnN #AmazonSweeps http://t.co/mavct6AFis,1424,185,990
@Plugable,USERNAME,0.551939681,2525,367,1769,RT Amazon3PSellers: RT + Follow for a chance to win a Plugable 3-Port Charger Cup NoPurchNec #AmazonSweeps Rules:http://t.co/4UVrgTNcNl h•À_,1389,209,976
https://t.co/8F2M9LyT8e,LINK,0,3780,371,2586,Follow Amazon and Retweet for a chance to win http://t.co/GlmsyBtzNK #AmazonSweeps Rules https://t.co/8F2M9LyT8e http://t.co/w7cSOhvNcK,1983,206,1361
http://t.co/ho17SHN4V0,LINK,0,3092,408,2152,RT amazongames: Remember #E3 2003? Follow &amp; RT for a chance to win a PlayStation Portable. #CountdownToE3 http://t.co/ho17SHN4V0 http://t.•À_,3092,408,2152
http://t.co/Cv2XauGZt0,LINK,0,10785,1728,7615,RT amazongames: Follow &amp; RT to enter for a chance to win a skinned #ESO Xbox One or PS4! #AmazonSweeps http://t.co/Cv2XauGZt0 http://t.co/•À_,10785,1728,7615
@amazon_movies,USERNAME,0,13289,1899,9295,RT amazon_movies: Followers who RT have a shot 2 win this http://t.co/IY9PebiWuV! NoPurchNec http://t.co/5vE7Ch83EF #giveaway http://t.co/•À_,2242,260,1548
sweet gaming headset,OTHER,0.49000001,3362,422,2332,RT amazongames: Follow &amp; RT for a chance to win a sweet gaming headset from turtlebeach. #12DaysOfGiveaways http://t.co/PapkqENpmW http:/•À_,3362,422,2332
#giveaway,HASHTAG,0.07648307,13067,1629,9060,RT amazon_movies: Followers who RT have a shot 2 win this http://t.co/IY9PebiWuV! NoPurchNec http://t.co/5vE7Ch83EF #giveaway http://t.co/•À_,2242,260,1548
@AnkerOfficial,USERNAME,0.478347724,4469,563,3101,RT Amazon3PSellers: RT + Follow for a chance to win this AnkerOfficial Charger! NoPurchNec #AmazonGiveaway Rules: http://t.co/R334k9RBQI •À_,1518,210,1060
favorite,OTHER,0.031672209,2196,1614,1982,Who are you picking in this #CandyBracket semi-finals showdown? RT for Twix favorite for 3 Musketeers http://t.co/jutoo55FX9,249,172,222
https://t.co/HxuKy8s9Ry,LINK,0,2114,214,1449,RT for a chance to win this watch. NoPurchNec http://t.co/RWY8EhTIfE #AmazonGiveaway Rules: https://t.co/HxuKy8s9Ry http://t.co/1aj7juOpi8,2114,214,1449
#12DaysofGiveaways,HASHTAG,0.06761016,5050,614,3496,RT amazongames: Follow &amp; RT for a chance to win dragonage Inquisition for #PS4 or #XboxOne #12DaysofGiveaways http://t.co/TTxlAqMmwo http•À_,2605,285,1792
@AmazonVideo,USERNAME,4.60E-09,3041,4193,3426,RT Avengers: Get your #Avengers fix thanks to AmazonVideo! Watch: http://t.co/Go02nI4ABM,243,583,362
https://t.co/UnBDUGqhBV,LINK,0,1763,227,1225,Follow Amazon and RT for a chance to win http://t.co/OggEKfeK9f Rules https://t.co/UnBDUGqhBV #AmazonSweeps http://t.co/MaL6F9Bxjn,1763,227,1225
@FallonTonight,USERNAME,0.441551745,1951,706,1515,RT FallonTonight: Win from home! Five fans can win Bose speakers from Amazon by replying to us and using #FallonStockingSweeps! #FallonT•À_,1951,706,1515
raptor,OTHER,0.128333338,969,1909,1295,A raptor is on the loose in one of our fulfillment centers.... http://t.co/a44d46q6RP,278,596,389
Happy,OTHER,0.062764075,1635,2106,1793,Happy #NationalDrinkWineDay! What color is in your glass? http://t.co/RuyQX8MEBX,419,268,366
last day,OTHER,0.016156953,1380,8138,3743,RT ActuallyNPH: My birthday is Monday so today is your last day to get free shipping with Amazon Prime. Please plan and shop accordingly.•À_,1185,7943,3550
#100Books,HASHTAG,1.36E-08,2114,4189,2800,March is National Reading Month and we're going to celebrate by sharing 100 Books to Read in a Lifetime. #100Books,165,220,184
@Money23Green,USERNAME,0.668378741,2597,373,1817,RT Amazon3PSellers: Follow + RT for a chance to win: jackeryinc signed by Money23Green http://t.co/yJq3SSgmj7http://t.co/dfkBlXi8wO ht•À_,1316,176,916
#WiiU,HASHTAG,0.441551745,2383,275,1645,RT amazongames: Day 4 of #12DaysofGiveaways:Follow &amp; RT for a chance to win #SuperSmashBros for #WiiU. http://t.co/gwhVLBIXQp http://t.co•À_,2383,275,1645
http://t.co/iDSQiefFYY,LINK,0,1862,201,1280,Follow Amazon and RT for a chance to win http://t.co/iVpq1a6RUv #AmazonSweeps Rules https://t.co/fNiIGz8FhU http://t.co/iDSQiefFYY,1862,201,1280
http://t.co/iVpq1a6RUv,LINK,0,1862,201,1280,Follow Amazon and RT for a chance to win http://t.co/iVpq1a6RUv #AmazonSweeps Rules https://t.co/fNiIGz8FhU http://t.co/iDSQiefFYY,1862,201,1280
@KDTrey5,USERNAME,0,1656,1286,1526,RT NBA2K: #NBA2K15 is partnering with amazongames for a 35-hour sale at $35 in honor of 35's return. #YourTimeHasCome KDTrey5 http://t.c•À_,1656,1286,1526
https://t.co/34k8zwb4eU,LINK,0,1828,219,1264,Follow Amazon and RT for a chance to win http://t.co/MsRLWzE1zl Rules https://t.co/34k8zwb4eU #AmazonSweeps http://t.co/qLhBJCG4G4,1828,219,1264
https://t.co/sFDxVarIIl,LINK,0,2140,237,1473,RT for a chance to win from Rem4Men https://t.co/sFDxVarIIl NoPurchNec #AmazonGiveaway Rules https://t.co/DdTHpMZwOl http://t.co/mFctZWooW3,1158,128,797
#NBA2K15,HASHTAG,0.320961033,1876,1659,1798,RT NBA2K: #NBA2K15 is partnering with amazongames for a 35-hour sale at $35 in honor of 35's return. #YourTimeHasCome KDTrey5 http://t.c•À_,1656,1286,1526
http://t.co/EAchj7bkMn,LINK,0,3260,378,2250,Follow amazon and retweet for a chance to win http://t.co/XGL0joMUmR Rules http://t.co/EAchj7bkMn #AmazonSweeps http://t.co/qildCtw2Nx,1135,128,782
http://t.co/IY9PebiWuV,LINK,0,2242,260,1548,RT amazon_movies: Followers who RT have a shot 2 win this http://t.co/IY9PebiWuV! NoPurchNec http://t.co/5vE7Ch83EF #giveaway http://t.co/•À_,2242,260,1548
http://t.co/76HUOSZq7m,LINK,0,2598,267,1782,Follow amazon and retweet for a chance to win http://t.co/76HUOSZq7m   Rules http://t.co/4z05LXiZ6C #AmazonSweeps http://t.co/Zv0Ygchk50,2598,267,1782
#AmazonReviews,HASHTAG,0,1262,1384,1300,Crystal Ballpoint Pen•À_ #AmazonReviews http://t.co/LQhgkWcGZJ,429,387,414
http://t.co/MUsBzljfOF,LINK,0,2393,250,1642,RT amazongames: Follow &amp; RT for a chance to win Halo The Master Chief Collection #12DaysOfGiveaways http://t.co/MUsBzljfOF http://t.co/uo•À_,2393,250,1642
@Rem4Men,USERNAME,0.047221506,6310,732,4354,RT for a chance to win from Rem4Men http://t.co/nFaMN8n8tx NoPurchNec #AmazonGiveaway Rules:https://t.co/5OSeGt0b3F http://t.co/qbADuBxdBR,1238,143,854
http://t.co/ho17SI4FMy,LINK,0,2549,376,1788,RT amazongames: Remember #E3 2002? Follow &amp; RT for a chance to win a WaveBird. WiiU compatible! #CountdownToE3 http://t.co/ho17SI4FMy http•À_,2549,376,1788
#FallonT,HASHTAG,0,1951,706,1515,RT FallonTonight: Win from home! Five fans can win Bose speakers from Amazon by replying to us and using #FallonStockingSweeps! #FallonT•À_,1951,706,1515
http://t.co/4z05LXiZ6C,LINK,0,2598,267,1782,Follow amazon and retweet for a chance to win http://t.co/76HUOSZq7m   Rules http://t.co/4z05LXiZ6C #AmazonSweeps http://t.co/Zv0Ygchk50,2598,267,1782
free shipping,OTHER,0.075539,1185,7943,3550,RT ActuallyNPH: My birthday is Monday so today is your last day to get free shipping with Amazon Prime. Please plan and shop accordingly.•À_,1185,7943,3550
http://t.co/jf5ERUAUUf,LINK,0,1144,737,1001,In case you ever need to pump deflated footballs http://t.co/jf5ERUAUUf http://t.co/XYyEI9LpXm,1144,737,1001
s return,OTHER,0.506876051,1656,1286,1526,RT NBA2K: #NBA2K15 is partnering with amazongames for a 35-hour sale at $35 in honor of 35's return. #YourTimeHasCome KDTrey5 http://t.c•À_,1656,1286,1526
@middleearthgame,USERNAME,0.441551745,2512,290,1734,RT amazongames: Follow &amp; RT for a chance to win middleearthgame #ShadowofMordor for #PS4 or #XboxOne. http://t.co/TVhf0jnFtN http://t.co/•À_,2512,290,1734
special edition,OTHER,0.680480987,2562,394,1802,RT Amazon3PSellers: Follow + RT for a chance to win a Money23Green special edition jackeryinc!http://t.co/j8CKCtzkCD#AmazonSweeps http•À_,1281,197,901
http://t.co/Zv0Ygchk50,LINK,0,2598,267,1782,Follow amazon and retweet for a chance to win http://t.co/76HUOSZq7m   Rules http://t.co/4z05LXiZ6C #AmazonSweeps http://t.co/Zv0Ygchk50,2598,267,1782
http://t.co/qbADuBxdBR,LINK,0,1238,143,854,RT for a chance to win from Rem4Men http://t.co/nFaMN8n8tx NoPurchNec #AmazonGiveaway Rules:https://t.co/5OSeGt0b3F http://t.co/qbADuBxdBR,1238,143,854
https://t.co/AFRt8Fmjr3,LINK,0,1636,245,1149,Follow Amazon and retweet for a chance to win http://t.co/fZCgXYAqTC Rules https://t.co/AFRt8Fmjr3 #AmazonSweeps http://t.co/qFPIp3nAia,1636,245,1149
@turtlebeach,USERNAME,0.465775877,3362,422,2332,RT amazongames: Follow &amp; RT for a chance to win a sweet gaming headset from turtlebeach. #12DaysOfGiveaways http://t.co/PapkqENpmW http:/•À_,3362,422,2332
#AmazonPrime,HASHTAG,2.58E-06,624,1480,918,RT catastrophe_tv: #CatastropheTV is here! Stream all episodes only on #AmazonPrime: http://t.co/N8hajnb6o7https://t.co/tCZsFkoNqd,164,767,375
@AmazonKindle,USERNAME,2.28E-05,1860,2214,1971,RT AmazonKindle: Celebrate National Reading Month with $20 off Kindle: http://t.co/EHCZvRvXSB  Limited-time only. http://t.co/0wUOb9YqgG,486,372,446
