,keyword,keywordType,sentiment,sentimentType,id,tweet,retweets,favorites,popularity,,,,,
30/09/2014,http://t.co/YTqzbqSGhC,LINK,0,entity,a66554a0-d16f-423b-814a-2ad84f2ee863,Amazing to see the excited crowds today in Paris to preview Apple Watch for the first time at @coletteparis http://t.co/YTqzbqSGhC,13103,1971,9207,,,,,
26/06/2015,victory,OTHER,0.75,phrase,899e7318-226a-4f49-b45e-e9e80869f27b,"Today marks a victory for equality, perseverance and love.",8035,10743,8983,,,,,
26/06/2015,love,OTHER,0.600000024,phrase,899e7318-226a-4f49-b45e-e9e80869f27b,"Today marks a victory for equality, perseverance and love.",8035,10743,8983,,,,,
26/06/2015,perseverance,OTHER,0.600000024,phrase,899e7318-226a-4f49-b45e-e9e80869f27b,"Today marks a victory for equality, perseverance and love.",8035,10743,8983,,,,,
5/10/2013,friendship,OTHER,0.588000059,phrase,322b51ee-ea69-4739-ae38-e2535d3209f4,Second anniversary of Steve's death. Going on a long hike today and reflecting on his friendship and all the dents he made in the universe.,10155,6002,8701,,,,,
5/10/2013,Steve,OTHER,-0.110000014,entity,322b51ee-ea69-4739-ae38-e2535d3209f4,Second anniversary of Steve's death. Going on a long hike today and reflecting on his friendship and all the dents he made in the universe.,10155,6002,8701,,,,,
5/10/2013,hike today,OTHER,0.291000038,theme,322b51ee-ea69-4739-ae38-e2535d3209f4,Second anniversary of Steve's death. Going on a long hike today and reflecting on his friendship and all the dents he made in the universe.,10155,6002,8701,,,,,
5/10/2013,death,OTHER,-0.600000024,phrase,322b51ee-ea69-4739-ae38-e2535d3209f4,Second anniversary of Steve's death. Going on a long hike today and reflecting on his friendship and all the dents he made in the universe.,10155,6002,8701,,,,,
9/9/2014,Apple,OTHER,0,entity,ba49b4d6-fd2b-4b7d-873e-d9106c1aa959,One More Thing. Having the time of my life. It's a privilege to work with everyone at Apple.,7137,8984,7783,,,,,
24/02/2014,"""Details matter it's worth waiting to get it right.""",OTHER,0,entity,890876bb-ba25-47b1-b6a6-bf9dfef13c2a,"Remembering Steve on his birthday:  ""Details matter, it's worth waiting to get it right.""",8578,5615,7541,,,,,
8/6/2015,#WWDC15,HASHTAG,0,entity,55559f02-7c44-48d2-9bb3-4db5162b62cf,"Rise and shine, developers! #WWDC15",7053,7702,7280,,,,,
27/03/2015,love,OTHER,0.600000024,phrase,16bab028-7914-415b-91c2-afa65b997053,"Around the world, we strive to treat every customer the same � regardless of where they come from, how they worship or who they love.",6554,8552,7253,,,,,
24/02/2014,friend,OTHER,0.660000026,phrase,6920484d-fa60-422f-8936-a7aedce4a725,"Remembering my friend Steve on his birthday. ""Stay hungry, Stay foolish"". We honor him by continuing the work he loved so much.",7897,5091,6915,,,,,
24/02/2014,Steve,OTHER,0.642009497,entity,6920484d-fa60-422f-8936-a7aedce4a725,"Remembering my friend Steve on his birthday. ""Stay hungry, Stay foolish"". We honor him by continuing the work he loved so much.",7897,5091,6915,,,,,
24/02/2014,loved,OTHER,0.564999998,phrase,6920484d-fa60-422f-8936-a7aedce4a725,"Remembering my friend Steve on his birthday. ""Stay hungry, Stay foolish"". We honor him by continuing the work he loved so much.",7897,5091,6915,,,,,
24/02/2014,"""Stay hungry Stay foolish""",OTHER,-0.5,entity,6920484d-fa60-422f-8936-a7aedce4a725,"Remembering my friend Steve on his birthday. ""Stay hungry, Stay foolish"". We honor him by continuing the work he loved so much.",7897,5091,6915,,,,,
24/02/2014,honor,OTHER,0.531316638,phrase,6920484d-fa60-422f-8936-a7aedce4a725,"Remembering my friend Steve on his birthday. ""Stay hungry, Stay foolish"". We honor him by continuing the work he loved so much.",7897,5091,6915,,,,,
24/02/2014,so much,OTHER,0.169018999,phrase,6920484d-fa60-422f-8936-a7aedce4a725,"Remembering my friend Steve on his birthday. ""Stay hungry, Stay foolish"". We honor him by continuing the work he loved so much.",7897,5091,6915,,,,,
24/02/2014,foolish,OTHER,-0.5,phrase,6920484d-fa60-422f-8936-a7aedce4a725,"Remembering my friend Steve on his birthday. ""Stay hungry, Stay foolish"". We honor him by continuing the work he loved so much.",7897,5091,6915,,,,,
9/3/2015,extra rest,OTHER,0,theme,8eae80c3-9447-4aaa-8ed9-cff483c8bb30,Got some extra rest for today's event. Slept in 'til 4:30.,6146,8148,6847,,,,,
20/09/2013,happy,OTHER,0.5,phrase,376ba703-1905-45c4-8a5a-797efa907bf9,Visited Retail Stores in Palo Alto today. Seeing so many happy customers reminds us of why we do what we do.,7685,4298,6500,,,,,
20/09/2013,Palo Alto,OTHER,0.242937997,entity,376ba703-1905-45c4-8a5a-797efa907bf9,Visited Retail Stores in Palo Alto today. Seeing so many happy customers reminds us of why we do what we do.,7685,4298,6500,,,,,
20/09/2013,happy customers,OTHER,0.5,theme,376ba703-1905-45c4-8a5a-797efa907bf9,Visited Retail Stores in Palo Alto today. Seeing so many happy customers reminds us of why we do what we do.,7685,4298,6500,,,,,
20/09/2013,Retail Stores,OTHER,0.242937997,phrase,376ba703-1905-45c4-8a5a-797efa907bf9,Visited Retail Stores in Palo Alto today. Seeing so many happy customers reminds us of why we do what we do.,7685,4298,6500,,,,,
1/12/2013,espn,OTHER,0,entity,0050299e-44e6-43f5-9e9f-ae671c2cf58b,RT @espn: AUBURN WINS!! AUBURN WINS!!! AUBURN WINS!!,7102,4906,6333,,,,,
18/12/2013,powerful,OTHER,0.966000021,phrase,cf285c1e-502c-4c7b-a7bb-c851f2d22576,We have begun manufacturing the Mac Pro in Austin.  It's the most powerful Mac ever.  Orders start tomorrow. http://t.co/Jrd1Gic3Ya,7136,3925,6012,,,,,
18/12/2013,Austin,OTHER,0,entity,cf285c1e-502c-4c7b-a7bb-c851f2d22576,We have begun manufacturing the Mac Pro in Austin.  It's the most powerful Mac ever.  Orders start tomorrow. http://t.co/Jrd1Gic3Ya,7136,3925,6012,,,,,
18/12/2013,http://t.co/Jrd1Gic3Ya,LINK,0,entity,cf285c1e-502c-4c7b-a7bb-c851f2d22576,We have begun manufacturing the Mac Pro in Austin.  It's the most powerful Mac ever.  Orders start tomorrow. http://t.co/Jrd1Gic3Ya,7136,3925,6012,,,,,
4/9/2014,Special Event,OTHER,0.590730011,phrase,5adc2e4f-9202-49b5-b261-4193c2b1fbc8,Apple - Live - Countdown to the Apple Special Event.  Wish I could say more.  I hope you can join us. http://t.co/2Iudkgv8NW,6461,4806,5882,,,,,
4/9/2014,http://t.co/2Iudkgv8NW,LINK,0,entity,5adc2e4f-9202-49b5-b261-4193c2b1fbc8,Apple - Live - Countdown to the Apple Special Event.  Wish I could say more.  I hope you can join us. http://t.co/2Iudkgv8NW,6461,4806,5882,,,,,
4/9/2014,Special Event,OTHER,0.492275,theme,5adc2e4f-9202-49b5-b261-4193c2b1fbc8,Apple - Live - Countdown to the Apple Special Event.  Wish I could say more.  I hope you can join us. http://t.co/2Iudkgv8NW,6461,4806,5882,,,,,
4/9/2014,hope,OTHER,0.49000001,phrase,5adc2e4f-9202-49b5-b261-4193c2b1fbc8,Apple - Live - Countdown to the Apple Special Event.  Wish I could say more.  I hope you can join us. http://t.co/2Iudkgv8NW,6461,4806,5882,,,,,
28/05/2014,laugh,OTHER,0.49000001,phrase,d0909be3-f0d7-4a6e-89c7-b1eee3b2d2aa,"Sharing a laugh with Jimmy, Dre, and @cue. Excited to welcome the #Beats team to #Apple. It's all about the music. http://t.co/ZwyWgHFwhO",6302,4474,5662,,,,,
28/05/2014,cue,OTHER,0,entity,d0909be3-f0d7-4a6e-89c7-b1eee3b2d2aa,"Sharing a laugh with Jimmy, Dre, and @cue. Excited to welcome the #Beats team to #Apple. It's all about the music. http://t.co/ZwyWgHFwhO",6302,4474,5662,,,,,
28/05/2014,Excited,OTHER,0.400000006,phrase,d0909be3-f0d7-4a6e-89c7-b1eee3b2d2aa,"Sharing a laugh with Jimmy, Dre, and @cue. Excited to welcome the #Beats team to #Apple. It's all about the music. http://t.co/ZwyWgHFwhO",6302,4474,5662,,,,,
28/05/2014,#Beats,HASHTAG,0,entity,d0909be3-f0d7-4a6e-89c7-b1eee3b2d2aa,"Sharing a laugh with Jimmy, Dre, and @cue. Excited to welcome the #Beats team to #Apple. It's all about the music. http://t.co/ZwyWgHFwhO",6302,4474,5662,,,,,
28/05/2014,#Apple,HASHTAG,0,entity,d0909be3-f0d7-4a6e-89c7-b1eee3b2d2aa,"Sharing a laugh with Jimmy, Dre, and @cue. Excited to welcome the #Beats team to #Apple. It's all about the music. http://t.co/ZwyWgHFwhO",6302,4474,5662,,,,,
28/05/2014,http://t.co/ZwyWgHFwhO,LINK,0,entity,d0909be3-f0d7-4a6e-89c7-b1eee3b2d2aa,"Sharing a laugh with Jimmy, Dre, and @cue. Excited to welcome the #Beats team to #Apple. It's all about the music. http://t.co/ZwyWgHFwhO",6302,4474,5662,,,,,
5/10/2014,trust,OTHER,0.49000001,phrase,4e089ca2-ef11-4d84-bc69-da0416092e4a,"Remembering SJ, ""You have to trust in something � your gut, destiny, life, karma, whatever.""",5029,4632,4890,,,,,
5/10/2014,SJ,OTHER,0.245000005,entity,4e089ca2-ef11-4d84-bc69-da0416092e4a,"Remembering SJ, ""You have to trust in something � your gut, destiny, life, karma, whatever.""",5029,4632,4890,,,,,
5/10/2014,"""You have to trust in something � your gut destiny life karma whatever.""",OTHER,0.49000001,entity,4e089ca2-ef11-4d84-bc69-da0416092e4a,"Remembering SJ, ""You have to trust in something � your gut, destiny, life, karma, whatever.""",5029,4632,4890,,,,,
24/01/2014,Happy,OTHER,1,phrase,9d495546-c36c-428f-b2a1-befadd24fad0,Happy Birthday Mac!  My life is infinitely better because we met. Today we salute everything you stand for. http://t.co/seLULo2cQ6,5744,2950,4766,,,,,
24/01/2014,http://t.co/seLULo2cQ6,LINK,0,entity,9d495546-c36c-428f-b2a1-befadd24fad0,Happy Birthday Mac!  My life is infinitely better because we met. Today we salute everything you stand for. http://t.co/seLULo2cQ6,5744,2950,4766,,,,,
24/01/2014,Happy Birthday Mac,OTHER,0.5,theme,9d495546-c36c-428f-b2a1-befadd24fad0,Happy Birthday Mac!  My life is infinitely better because we met. Today we salute everything you stand for. http://t.co/seLULo2cQ6,5744,2950,4766,,,,,
24/01/2014,salute,OTHER,0.449999988,phrase,9d495546-c36c-428f-b2a1-befadd24fad0,Happy Birthday Mac!  My life is infinitely better because we met. Today we salute everything you stand for. http://t.co/seLULo2cQ6,5744,2950,4766,,,,,
24/01/2014,better,OTHER,0.300000012,phrase,9d495546-c36c-428f-b2a1-befadd24fad0,Happy Birthday Mac!  My life is infinitely better because we met. Today we salute everything you stand for. http://t.co/seLULo2cQ6,5744,2950,4766,,,,,
29/06/2014,inspires,OTHER,0.600000024,phrase,bbc2e1f8-4541-410d-8cf3-32d2861e0dd8,Congrats to 5000 Apple employees/families who attended today's Pride parade.Inclusion inspires innovation.#applepride http://t.co/4DncX8F6fO,4258,5083,4547,,,,,
29/06/2014,http://t.co/4DncX8F6fO,LINK,0,entity,bbc2e1f8-4541-410d-8cf3-32d2861e0dd8,Congrats to 5000 Apple employees/families who attended today's Pride parade.Inclusion inspires innovation.#applepride http://t.co/4DncX8F6fO,4258,5083,4547,,,,,
29/06/2014,attended today,OTHER,0.272500008,theme,bbc2e1f8-4541-410d-8cf3-32d2861e0dd8,Congrats to 5000 Apple employees/families who attended today's Pride parade.Inclusion inspires innovation.#applepride http://t.co/4DncX8F6fO,4258,5083,4547,,,,,
29/06/2014,innovation,OTHER,0.49000001,phrase,bbc2e1f8-4541-410d-8cf3-32d2861e0dd8,Congrats to 5000 Apple employees/families who attended today's Pride parade.Inclusion inspires innovation.#applepride http://t.co/4DncX8F6fO,4258,5083,4547,,,,,
12/8/2014,great,OTHER,0.600000024,phrase,431eabc4-418a-47eb-919c-a1515fbf1a55,Heartbroken by the news of Robin Williams' passing. He was an incomparable talent and a great human being. Rest in peace.,4462,4382,4434,,,,,
12/8/2014,Robin Williams,OTHER,-0.294350028,entity,431eabc4-418a-47eb-919c-a1515fbf1a55,Heartbroken by the news of Robin Williams' passing. He was an incomparable talent and a great human being. Rest in peace.,4462,4382,4434,,,,,
12/8/2014,incomparable talent,OTHER,0.265649974,theme,431eabc4-418a-47eb-919c-a1515fbf1a55,Heartbroken by the news of Robin Williams' passing. He was an incomparable talent and a great human being. Rest in peace.,4462,4382,4434,,,,,
12/8/2014,Heartbroken,OTHER,-0.672000051,phrase,431eabc4-418a-47eb-919c-a1515fbf1a55,Heartbroken by the news of Robin Williams' passing. He was an incomparable talent and a great human being. Rest in peace.,4462,4382,4434,,,,,
12/8/2014,great human,OTHER,0.600000024,theme,431eabc4-418a-47eb-919c-a1515fbf1a55,Heartbroken by the news of Robin Williams' passing. He was an incomparable talent and a great human being. Rest in peace.,4462,4382,4434,,,,,
12/8/2014,talent,OTHER,0.531299949,phrase,431eabc4-418a-47eb-919c-a1515fbf1a55,Heartbroken by the news of Robin Williams' passing. He was an incomparable talent and a great human being. Rest in peace.,4462,4382,4434,,,,,
12/8/2014,peace,OTHER,0.519400001,phrase,431eabc4-418a-47eb-919c-a1515fbf1a55,Heartbroken by the news of Robin Williams' passing. He was an incomparable talent and a great human being. Rest in peace.,4462,4382,4434,,,,,
1/12/2013,achieve,OTHER,0.49000001,phrase,67025aa4-3238-4bbb-8eab-c46b8d28ae12,We are marking #World AIDS Day by turning Apple's logo red. Together we can achieve an AIDS free generation. http://t.co/3kdx9UZr9f,4527,2905,3959,,,,,
1/12/2013,Apple,OTHER,0.49000001,entity,67025aa4-3238-4bbb-8eab-c46b8d28ae12,We are marking #World AIDS Day by turning Apple's logo red. Together we can achieve an AIDS free generation. http://t.co/3kdx9UZr9f,4527,2905,3959,,,,,
1/12/2013,logo red,OTHER,0.245000005,theme,67025aa4-3238-4bbb-8eab-c46b8d28ae12,We are marking #World AIDS Day by turning Apple's logo red. Together we can achieve an AIDS free generation. http://t.co/3kdx9UZr9f,4527,2905,3959,,,,,
1/12/2013,#World,HASHTAG,0,entity,67025aa4-3238-4bbb-8eab-c46b8d28ae12,We are marking #World AIDS Day by turning Apple's logo red. Together we can achieve an AIDS free generation. http://t.co/3kdx9UZr9f,4527,2905,3959,,,,,
1/12/2013,free generation,OTHER,0.367500007,theme,67025aa4-3238-4bbb-8eab-c46b8d28ae12,We are marking #World AIDS Day by turning Apple's logo red. Together we can achieve an AIDS free generation. http://t.co/3kdx9UZr9f,4527,2905,3959,,,,,
1/12/2013,http://t.co/3kdx9UZr9f,LINK,0,entity,67025aa4-3238-4bbb-8eab-c46b8d28ae12,We are marking #World AIDS Day by turning Apple's logo red. Together we can achieve an AIDS free generation. http://t.co/3kdx9UZr9f,4527,2905,3959,,,,,
