keyword,keywordType,avgSentiment,totalRT,totalFav,totalPop,topTweet,topRT,topFav,topPop,company
majornelson,OTHER,0,12706,7540,10896,RT majornelson: Here it is up close - the very first ET cartridge exhumed after 30 years http://t.co/nb8tv33w8F,7436,4626,6452,Microsoft
best,OTHER,0.027312148,10790,5308,8864,RT Windows: Introducing the best one yet. #Windows10 http://t.co/LDPSJF6pUH,8488,3289,6668,Microsoft
http://t.co/b0VaGbkfnQ,LINK,0,10193,5584,8579,RT Windows: May the 4th be with you. #StarWarsDay #Windows #OneDrive http://t.co/b0VaGbkfnQ,10193,5584,8579,Microsoft
#StarWarsDay,HASHTAG,0,10193,5584,8579,RT Windows: May the 4th be with you. #StarWarsDay #Windows #OneDrive http://t.co/b0VaGbkfnQ,10193,5584,8579,Microsoft
better,OTHER,0.05491566,7332,8915,7881,RT Xbox: Scorpion? You'd better believe it. #MortalKombat10 comes to #Xbox in 2015. http://t.co/6m8SIy4Uua #XboxE3 http://t.co/AXtUB5NdmJ,4642,6150,5169,Microsoft
#hourofcode,HASHTAG,0,6459,10287,7798,We're challenging you to learn coding with #hourofcode. Here's how you can get started: http://t.co/Hmsryi4bt6 http://t.co/3sfPvrdOGM,6459,10287,7798,Microsoft
http://t.co/Hmsryi4bt6,LINK,0,6459,10287,7798,We're challenging you to learn coding with #hourofcode. Here's how you can get started: http://t.co/Hmsryi4bt6 http://t.co/3sfPvrdOGM,6459,10287,7798,Microsoft
http://t.co/3sfPvrdOGM,LINK,0,6459,10287,7798,We're challenging you to learn coding with #hourofcode. Here's how you can get started: http://t.co/Hmsryi4bt6 http://t.co/3sfPvrdOGM,6459,10287,7798,Microsoft
Skype,OTHER,0.002013732,7768,7726,7736,"RT Skype: In light of the tragic events in Nepal, all Skype calls to landlines &amp; mobiles in &amp; out of Nepal are free. More: [http://t.co/pz�",1716,969,1454,Microsoft
free copy,OTHER,0.174069578,11004,1384,7636,"RT Xbox: Zombies, zombies everywhere. 30 #XboxOne codes, here.RT for a chance to win a free copy of Zombie Driver from ID_Xbox",3203,429,2232,Microsoft
MicrosoftStore,OTHER,5.69E-38,7704,7583,7617,"RT MicrosoftStore: Followers unite! 500 retweets will unlock a deal on one of our music accessories. Ready, set, share! #sharetosave� http�",633,96,445,Microsoft
https://t.co/QxMzoK136G,LINK,0,5539,10491,7272,Introducing Microsoft Bandhttps://t.co/QxMzoK136G,5539,10491,7272,Microsoft
upgrade,OTHER,0.600000024,8017,5825,7248,"RT Windows: Summer just got an upgrade. #Windows10 will release worldwide on July 29, 2015: http://t.co/lY2QFwk1mj http://t.co/VaytYlCeaR",7279,5110,6519,Microsoft
windowsphone,OTHER,1.92E-51,8140,5528,7207,RT windowsphone: Meet #Cortana.�#bldwin #WindowsPhone http://t.co/yBOYDIVhga,1220,626,1012,Microsoft
#Build2015,HASHTAG,4.03E-04,7804,5649,7046,RT Windows: Microsoft announces Continuum for phones - where almost any screen can deliver a PC experience. #Windows10 #Build2015 http://t�,1505,857,1278,Microsoft
http://t.co/LDPSJF6pUH,LINK,0,8488,3289,6668,RT Windows: Introducing the best one yet. #Windows10 http://t.co/LDPSJF6pUH,8488,3289,6668,Microsoft
http://t.co/lY2QFwk1mj,LINK,0,7279,5110,6519,"RT Windows: Summer just got an upgrade. #Windows10 will release worldwide on July 29, 2015: http://t.co/lY2QFwk1mj http://t.co/VaytYlCeaR",7279,5110,6519,Microsoft
http://t.co/VaytYlCeaR,LINK,0,7279,5110,6519,"RT Windows: Summer just got an upgrade. #Windows10 will release worldwide on July 29, 2015: http://t.co/lY2QFwk1mj http://t.co/VaytYlCeaR",7279,5110,6519,Microsoft
29-Jul-15,OTHER,0,7279,5110,6519,"RT Windows: Summer just got an upgrade. #Windows10 will release worldwide on July 29, 2015: http://t.co/lY2QFwk1mj http://t.co/VaytYlCeaR",7279,5110,6519,Microsoft
http://t.co/nb8tv33w8F,LINK,0,7436,4626,6452,RT majornelson: Here it is up close - the very first ET cartridge exhumed after 30 years http://t.co/nb8tv33w8F,7436,4626,6452,Microsoft
http://t.co/SAOLmmR4r9,LINK,0,5041,8893,6389,RT Xbox: Are you ready? #XboxE3 http://t.co/SAOLmmR4r9,5041,8893,6389,Microsoft
bing,OTHER,1.77E-18,5156,6201,5506,RT bing: Show us you photography skills. Submit your photo in our latest photo contest. http://t.co/Z316UBD7aN #BingWorthy http://t.co/DDp�,903,1006,939,Microsoft
#Lumia,HASHTAG,1.80E-11,5158,5705,5326,RT nokia: The #Lumia Cyan update with Windows Phone 8.1 and Lumia features starts rolling out today! http://t.co/3FUfUoID7F http://t.co/YM�,1124,761,996,Microsoft
#ICreatedThis,HASHTAG,3.70E-20,3955,7891,5309,"""I re-branded Microsoft for a school project, and then they hired me."" http://t.co/EH6g7YTLVS #ICreatedThis http://t.co/Yrpf6nK6Zd",314,805,485,Microsoft
http://t.co/AXtUB5NdmJ,LINK,0,4642,6150,5169,RT Xbox: Scorpion? You'd better believe it. #MortalKombat10 comes to #Xbox in 2015. http://t.co/6m8SIy4Uua #XboxE3 http://t.co/AXtUB5NdmJ,4642,6150,5169,Microsoft
http://t.co/6m8SIy4Uua,LINK,0,4642,6150,5169,RT Xbox: Scorpion? You'd better believe it. #MortalKombat10 comes to #Xbox in 2015. http://t.co/6m8SIy4Uua #XboxE3 http://t.co/AXtUB5NdmJ,4642,6150,5169,Microsoft
#MortalKombat10,HASHTAG,0,4642,6150,5169,RT Xbox: Scorpion? You'd better believe it. #MortalKombat10 comes to #Xbox in 2015. http://t.co/6m8SIy4Uua #XboxE3 http://t.co/AXtUB5NdmJ,4642,6150,5169,Microsoft
#HoloLens,HASHTAG,0.02,5155,5009,5102,RT HoloLens: It's official: Minecraft is coming to Microsoft #HoloLens. #XboxE3 http://t.co/VSyAlmdu2s,3422,3397,3413,Microsoft
