@Android,19/06/2015,28/05/2015,27/05/2015,20/04/2015,08/04/2015,19/03/2015,13/02/2015,09/01/2015,06/01/2015,26/11/2014,26/11/2014,12/11/2014,22/10/2014,16/10/2014,05/09/2014,02/09/2014,22/08/2014,20/08/2014,02/07/2014,25/06/2014,19/06/2014,19/06/2014,11/06/2014,08/05/2014,12/12/2013,31/10/2013,02/08/2013,26/06/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#WorldCup,14/07/2014,14/07/2014,11/07/2014,11/07/2014,09/07/2014,09/07/2014,08/07/2014,08/07/2014,05/07/2014,04/07/2014,01/07/2014,01/07/2014,30/06/2014,29/06/2014,29/06/2014,29/06/2014,29/06/2014,28/06/2014,27/06/2014,26/06/2014,25/06/2014,24/06/2014,23/06/2014,23/06/2014,22/06/2014,22/06/2014,21/06/2014,21/06/2014,20/06/2014,18/06/2014,17/06/2014,17/06/2014,16/06/2014,14/06/2014,14/06/2014,13/06/2014,13/06/2014,13/06/2014,13/06/2014,13/06/2014,12/06/2014,12/06/2014,12/06/2014,12/06/2014,12/06/2014,11/06/2014,11/06/2014,06/06/2014,06/06/2014,05/06/2014,05/06/2014,04/06/2014,02/06/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agreement,29/01/2014,13/01/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latest,12/06/2015,12/05/2015,29/04/2015,20/04/2015,17/03/2015,11/03/2015,23/01/2015,23/01/2015,06/01/2015,30/12/2014,31/10/2014,11/06/2014,09/05/2014,08/05/2014,27/02/2014,13/02/2014,12/02/2014,21/01/2014,17/01/2014,25/12/2013,12/12/2013,11/12/2013,20/11/2013,29/10/2013,26/09/2013,26/06/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Nexus,12/11/2014,15/10/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#io15,28/05/2015,28/05/2015,28/05/2015,28/05/2015,28/05/2015,28/05/2015,28/05/2015,28/05/2015,28/05/2015,28/05/2015,28/05/2015,28/05/2015,28/05/2015,28/05/2015,28/05/2015,28/05/2015,28/05/2015,28/05/2015,28/05/2015,28/05/2015,28/05/2015,28/05/2015,28/05/2015,28/05/2015,28/05/2015,28/05/2015,27/05/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#pride,26/06/2015,26/06/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#GoogleSearch,26/02/2015,02/02/2015,05/08/2014,07/06/2014,06/06/2014,30/05/2014,23/05/2014,23/05/2014,22/05/2014,18/05/2014,16/05/2014,16/05/2014,15/05/2014,10/05/2014,08/05/2014,05/05/2014,03/05/2014,02/05/2014,02/05/2014,25/04/2014,15/04/2014,11/04/2014,08/04/2014,28/03/2014,26/03/2014,26/03/2014,24/03/2014,24/03/2014,21/03/2014,21/03/2014,19/03/2014,19/03/2014,12/03/2014,12/03/2014,03/03/2014,03/03/2014,03/03/2014,03/03/2014,26/02/2014,23/02/2014,19/02/2014,19/02/2014,13/02/2014,12/02/2014,11/02/2014,05/02/2014,04/02/2014,03/02/2014,03/02/2014,03/02/2014,30/01/2014,29/01/2014,23/01/2014,16/01/2014,10/01/2014,09/01/2014,02/01/2014,30/12/2013,27/12/2013,25/12/2013,25/12/2013,20/12/2013,19/12/2013,18/12/2013,13/12/2013,11/12/2013,06/12/2013,05/12/2013,28/11/2013,27/11/2013,26/11/2013,20/11/2013,13/11/2013,07/11/2013,06/11/2013,05/11/2013,31/10/2013,01/10/2013,23/09/2013,21/09/2013,20/09/2013,12/09/2013,30/08/2013,28/08/2013,20/08/2013,14/08/2013,08/08/2013,07/08/2013,06/08/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#YouTubeRewind,11/12/2014,10/12/2014,09/12/2014,09/12/2014,09/12/2014,09/12/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@googlemaps,08/06/2015,01/04/2015,31/03/2015,20/03/2015,12/03/2015,27/02/2015,27/02/2015,08/02/2015,16/01/2015,09/12/2014,01/12/2014,05/11/2014,05/11/2014,04/11/2014,27/10/2014,21/10/2014,21/10/2014,16/10/2014,13/10/2014,08/10/2014,06/10/2014,01/10/2014,16/09/2014,10/09/2014,04/09/2014,03/09/2014,21/08/2014,08/08/2014,05/08/2014,28/07/2014,01/07/2014,12/06/2014,05/06/2014,14/05/2014,14/05/2014,23/04/2014,19/02/2014,14/02/2014,14/02/2014,20/12/2013,19/12/2013,17/12/2013,10/12/2013,10/12/2013,05/12/2013,14/11/2013,07/11/2013,06/11/2013,15/10/2013,12/09/2013,30/07/2013,19/07/2013,17/07/2013,10/07/2013,10/07/2013,27/06/2013,26/06/2013,24/06/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://t.co/hyVLI1V99z,09/12/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@MesutOzil1088,23/06/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,12/06/2015,28/05/2015,28/05/2015,26/05/2015,02/02/2015,22/01/2015,21/01/2015,17/12/2014,10/12/2014,13/11/2014,11/12/2013,01/11/2013,26/10/2013,04/10/2013,03/07/2013,27/06/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@GoogleMaps,27/04/2015,02/03/2015,12/02/2015,05/02/2015,17/01/2015,23/12/2014,19/12/2014,18/12/2014,26/11/2014,25/11/2014,19/11/2014,21/10/2014,16/09/2014,08/09/2014,21/08/2014,17/07/2014,08/06/2014,05/06/2014,31/05/2014,14/05/2014,08/05/2014,01/04/2014,27/02/2014,25/02/2014,30/01/2014,25/12/2013,24/12/2013,19/12/2013,03/11/2013,16/09/2013,10/07/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://t.co/oTkpNeurqj,01/04/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@googlechrome,11/03/2015,11/03/2015,21/01/2015,09/01/2015,13/10/2014,11/09/2014,19/03/2014,19/12/2013,13/12/2013,26/11/2013,20/11/2013,08/10/2013,02/10/2013,10/09/2013,06/09/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
President Obama,09/02/2015,22/01/2015,20/01/2015,31/01/2014,23/01/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
better,23/06/2015,28/05/2015,14/05/2015,20/01/2015,08/12/2014,04/12/2014,12/11/2014,08/09/2014,13/08/2014,25/07/2014,09/06/2014,06/02/2014,21/10/2013,04/10/2013,26/09/2013,21/09/2013,12/08/2013,23/07/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proud,26/06/2015,16/10/2014,02/10/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@gmail,23/06/2015,30/04/2015,31/03/2015,03/03/2015,29/01/2015,03/11/2014,26/08/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@JaredLeto,22/04/2015,19/12/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@googleglass,15/01/2015,19/11/2014,05/08/2014,09/07/2014,14/06/2014,08/05/2014,22/04/2014,22/04/2014,15/04/2014,02/03/2014,14/02/2014,28/01/2014,12/11/2013,08/11/2013,31/10/2013,28/10/2013,23/10/2013,21/08/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Android,28/05/2015,20/05/2015,30/01/2015,26/11/2014,13/11/2014,16/10/2014,15/10/2014,14/10/2014,06/08/2014,25/06/2014,25/06/2014,13/11/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#InboxHappyHour,05/11/2014,05/11/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#SpiritDay,16/10/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
