keyword,keywordType,avgSentiment,totalRT,totalFav,totalPop,topTweet,topRT,topFav,topPop
#giveaway,HASHTAG,0.07648307011607143,13067,1629,9060,RT amazon_movies: Followers who RT have a shot 2 win this http://t.co/IY9PebiWuV! NoPurchNec http://t.co/5vE7Ch83EF #giveaway http://t.co/�,2242,260,1548
@AnkerOfficial,USERNAME,0.47834772366666667,4469,563,3101,RT Amazon3PSellers: RT + Follow for a chance to win this AnkerOfficial Charger! NoPurchNec #AmazonGiveaway Rules: http://t.co/R334k9RBQI �,1518,210,1060
favorite,OTHER,0.03167220903096263,2196,1614,1982,Who are you picking in this #CandyBracket semi-finals showdown? RT for Twix favorite for 3 Musketeers http://t.co/jutoo55FX9,249,172,222
https://t.co/HxuKy8s9Ry,LINK,0.0,2114,214,1449,RT for a chance to win this watch. NoPurchNec http://t.co/RWY8EhTIfE #AmazonGiveaway Rules: https://t.co/HxuKy8s9Ry http://t.co/1aj7juOpi8,2114,214,1449
#12DaysofGiveaways,HASHTAG,0.0676101595,5050,614,3496,RT amazongames: Follow &amp; RT for a chance to win dragonage Inquisition for #PS4 or #XboxOne #12DaysofGiveaways http://t.co/TTxlAqMmwo http�,2605,285,1792
@AmazonVideo,USERNAME,4.604017834122768E-9,3041,4193,3426,RT Avengers: Get your #Avengers fix thanks to AmazonVideo! Watch: http://t.co/Go02nI4ABM,243,583,362
https://t.co/UnBDUGqhBV,LINK,0.0,1763,227,1225,Follow Amazon and RT for a chance to win http://t.co/OggEKfeK9f Rules https://t.co/UnBDUGqhBV #AmazonSweeps http://t.co/MaL6F9Bxjn,1763,227,1225
@FallonTonight,USERNAME,0.441551745,1951,706,1515,RT FallonTonight: Win from home! Five fans can win Bose speakers from Amazon by replying to us and using #FallonStockingSweeps! #FallonT�,1951,706,1515
raptor,OTHER,0.12833333846666664,969,1909,1295,A raptor is on the loose in one of our fulfillment centers.... http://t.co/a44d46q6RP,278,596,389
Happy,OTHER,0.06276407531113708,1635,2106,1793,Happy #NationalDrinkWineDay! What color is in your glass? http://t.co/RuyQX8MEBX,419,268,366
