date,keyword,keywordType,sentiment,sentimentType,id,tweet,retweets,favorites,popularity
25/06/2015,http://t.co/VkK8ZXV3HX,LINK,0,entity,4907bd0d-8e9e-4a36-82bf-4dc314cfc21a,Remember to pack two lunches for tomorrow because Friday is #TakeYourDogToWorkDay! http://t.co/VkK8ZXV3HX,149,232,178
25/06/2015,#WearableTech,HASHTAG,0,entity,e07dad2f-f8c6-42bd-a350-26167e5e824e,What power will you choose? Browse the entire #WearableTech collection on Amazon http://t.co/Rs0UtZZOVs http://t.co/Tf4y8b2H54,20,40,27
25/06/2015,Amazon.com,OTHER,0,entity,e07dad2f-f8c6-42bd-a350-26167e5e824e,What power will you choose? Browse the entire #WearableTech collection on Amazon http://t.co/Rs0UtZZOVs http://t.co/Tf4y8b2H54,20,40,27
25/06/2015,http://t.co/Rs0UtZZOVs,LINK,0,entity,e07dad2f-f8c6-42bd-a350-26167e5e824e,What power will you choose? Browse the entire #WearableTech collection on Amazon http://t.co/Rs0UtZZOVs http://t.co/Tf4y8b2H54,20,40,27
25/06/2015,http://t.co/Tf4y8b2H54,LINK,0,entity,e07dad2f-f8c6-42bd-a350-26167e5e824e,What power will you choose? Browse the entire #WearableTech collection on Amazon http://t.co/Rs0UtZZOVs http://t.co/Tf4y8b2H54,20,40,27
25/06/2015,worry,OTHER,0.523439825,phrase,c75d1145-7f90-46c4-a680-4e8a7a2368ad,Lots of devices to protect? Live your life online without worry thanks to the 63% off Deal of the Day http://t.co/GTEUgZ4f7b,6,17,9
25/06/2015,http://t.co/GTEUgZ4f7b,LINK,0,entity,c75d1145-7f90-46c4-a680-4e8a7a2368ad,Lots of devices to protect? Live your life online without worry thanks to the 63% off Deal of the Day http://t.co/GTEUgZ4f7b,6,17,9
25/06/2015,life online,OTHER,0.523439825,theme,c75d1145-7f90-46c4-a680-4e8a7a2368ad,Lots of devices to protect? Live your life online without worry thanks to the 63% off Deal of the Day http://t.co/GTEUgZ4f7b,6,17,9
25/06/2015,#TreasureTruck,HASHTAG,0.66294843,phrase,d136b608-1005-4d86-896d-baefbdd2b96d,RT treasuretruck: Seattle Meet the Treasure Truck. http://t.co/IctiLxp7dc . See you in 2 Days! #TreasureTruck #Amazon #Seattle,15,25,18
25/06/2015,#TreasureTruck,HASHTAG,0.66294843,entity,d136b608-1005-4d86-896d-baefbdd2b96d,RT treasuretruck: Seattle Meet the Treasure Truck. http://t.co/IctiLxp7dc . See you in 2 Days! #TreasureTruck #Amazon #Seattle,15,25,18
25/06/2015,#Amazon,HASHTAG,0.66294843,entity,d136b608-1005-4d86-896d-baefbdd2b96d,RT treasuretruck: Seattle Meet the Treasure Truck. http://t.co/IctiLxp7dc . See you in 2 Days! #TreasureTruck #Amazon #Seattle,15,25,18
25/06/2015,#Seattle,HASHTAG,0.66294843,entity,d136b608-1005-4d86-896d-baefbdd2b96d,RT treasuretruck: Seattle Meet the Treasure Truck. http://t.co/IctiLxp7dc . See you in 2 Days! #TreasureTruck #Amazon #Seattle,15,25,18
25/06/2015,@treasuretruck,USERNAME,0,entity,d136b608-1005-4d86-896d-baefbdd2b96d,RT treasuretruck: Seattle Meet the Treasure Truck. http://t.co/IctiLxp7dc . See you in 2 Days! #TreasureTruck #Amazon #Seattle,15,25,18
25/06/2015,http://t.co/IctiLxp7dc,LINK,0,entity,d136b608-1005-4d86-896d-baefbdd2b96d,RT treasuretruck: Seattle Meet the Treasure Truck. http://t.co/IctiLxp7dc . See you in 2 Days! #TreasureTruck #Amazon #Seattle,15,25,18
25/06/2015,Celebrate,OTHER,1.200000048,phrase,b941b521-7d2c-4e57-9741-ef14777eb2d1,Celebrate summer with over $50 in paid apps and games FREE! Offer ends July 1 http://t.co/gNWn5GQeWx http://t.co/hWKsOcNSR3,57,60,58
25/06/2015,1-Jul,OTHER,0,entity,b941b521-7d2c-4e57-9741-ef14777eb2d1,Celebrate summer with over $50 in paid apps and games FREE! Offer ends July 1 http://t.co/gNWn5GQeWx http://t.co/hWKsOcNSR3,57,60,58
25/06/2015,http://t.co/gNWn5GQeWx,LINK,0,entity,b941b521-7d2c-4e57-9741-ef14777eb2d1,Celebrate summer with over $50 in paid apps and games FREE! Offer ends July 1 http://t.co/gNWn5GQeWx http://t.co/hWKsOcNSR3,57,60,58
25/06/2015,http://t.co/hWKsOcNSR3,LINK,0,entity,b941b521-7d2c-4e57-9741-ef14777eb2d1,Celebrate summer with over $50 in paid apps and games FREE! Offer ends July 1 http://t.co/gNWn5GQeWx http://t.co/hWKsOcNSR3,57,60,58
25/06/2015,big fan,OTHER,0.400000006,phrase,c06565c2-3dd6-4329-b297-43be008e7ebd,nedthetoothpik we hear you're a big fan of the Echo and your new Kindle Fire. Thanks for being our customer!,1,0,0
25/06/2015,@nedthetoothpik,USERNAME,0,entity,c06565c2-3dd6-4329-b297-43be008e7ebd,nedthetoothpik we hear you're a big fan of the Echo and your new Kindle Fire. Thanks for being our customer!,1,0,0
25/06/2015,big fan,OTHER,0.400000006,theme,c06565c2-3dd6-4329-b297-43be008e7ebd,nedthetoothpik we hear you're a big fan of the Echo and your new Kindle Fire. Thanks for being our customer!,1,0,0
25/06/2015,@amazonservices,USERNAME,0,entity,7237ac2e-df00-449d-90fc-4a0ffb88490b,It's grillin' season and amazonservices is here to help http://t.co/F76d8lYBWm http://t.co/jUp8vsJtsX,10,25,15
25/06/2015,http://t.co/F76d8lYBWm,LINK,0,entity,7237ac2e-df00-449d-90fc-4a0ffb88490b,It's grillin' season and amazonservices is here to help http://t.co/F76d8lYBWm http://t.co/jUp8vsJtsX,10,25,15
25/06/2015,http://t.co/jUp8vsJtsX,LINK,0,entity,7237ac2e-df00-449d-90fc-4a0ffb88490b,It's grillin' season and amazonservices is here to help http://t.co/F76d8lYBWm http://t.co/jUp8vsJtsX,10,25,15
25/06/2015,http://t.co/mf2wOTuVAb,LINK,0,entity,d152436d-ed33-4ef2-84b8-9e67a414dd2d,A challenger to the three wolf shirt approaches... http://t.co/mf2wOTuVAb http://t.co/iGeDgB52VV,124,178,142
25/06/2015,wolf shirt approaches,OTHER,0,theme,d152436d-ed33-4ef2-84b8-9e67a414dd2d,A challenger to the three wolf shirt approaches... http://t.co/mf2wOTuVAb http://t.co/iGeDgB52VV,124,178,142
25/06/2015,http://t.co/iGeDgB52VV,LINK,0,entity,d152436d-ed33-4ef2-84b8-9e67a414dd2d,A challenger to the three wolf shirt approaches... http://t.co/mf2wOTuVAb http://t.co/iGeDgB52VV,124,178,142
24/06/2015,Seattle,OTHER,0,entity,397d02e4-746e-47b7-8dab-6d66b5891b9f,Seattle have you seen it? treasuretruckhttps://t.co/ZoJ1DPo9cU,54,58,55
24/06/2015,@treasuretruck,USERNAME,0,entity,397d02e4-746e-47b7-8dab-6d66b5891b9f,Seattle have you seen it? treasuretruckhttps://t.co/ZoJ1DPo9cU,54,58,55
24/06/2015,https://t.co/ZoJ1DPo9cU,LINK,0,entity,397d02e4-746e-47b7-8dab-6d66b5891b9f,Seattle have you seen it? treasuretruckhttps://t.co/ZoJ1DPo9cU,54,58,55
24/06/2015,#TreasureTruck,HASHTAG,0.66294843,phrase,da5b26ad-5202-4453-8843-917241ca80da,RT treasuretruck: Someone found us at Seattle Center! #TreasureTruck https://t.co/9I4oW5ZQ5Y,8,18,11
24/06/2015,#TreasureTruck,HASHTAG,0.66294843,entity,da5b26ad-5202-4453-8843-917241ca80da,RT treasuretruck: Someone found us at Seattle Center! #TreasureTruck https://t.co/9I4oW5ZQ5Y,8,18,11
24/06/2015,@treasuretruck,USERNAME,0,entity,da5b26ad-5202-4453-8843-917241ca80da,RT treasuretruck: Someone found us at Seattle Center! #TreasureTruck https://t.co/9I4oW5ZQ5Y,8,18,11
24/06/2015,Seattle Center,OTHER,0,entity,da5b26ad-5202-4453-8843-917241ca80da,RT treasuretruck: Someone found us at Seattle Center! #TreasureTruck https://t.co/9I4oW5ZQ5Y,8,18,11
24/06/2015,https://t.co/9I4oW5ZQ5Y,LINK,0,entity,da5b26ad-5202-4453-8843-917241ca80da,RT treasuretruck: Someone found us at Seattle Center! #TreasureTruck https://t.co/9I4oW5ZQ5Y,8,18,11
24/06/2015,#SummerVibes,HASHTAG,0,entity,d4ed9d7e-8a5d-47a2-9b32-111761de0b0d,Find everything you need to keep your pet lookin' and feelin' cool this summer http://t.co/LYoAEtMKFy #SummerVibes https://t.co/JQeiNNEHO8,47,73,56
24/06/2015,pet lookin,OTHER,0,theme,d4ed9d7e-8a5d-47a2-9b32-111761de0b0d,Find everything you need to keep your pet lookin' and feelin' cool this summer http://t.co/LYoAEtMKFy #SummerVibes https://t.co/JQeiNNEHO8,47,73,56
24/06/2015,http://t.co/LYoAEtMKFy,LINK,0,entity,d4ed9d7e-8a5d-47a2-9b32-111761de0b0d,Find everything you need to keep your pet lookin' and feelin' cool this summer http://t.co/LYoAEtMKFy #SummerVibes https://t.co/JQeiNNEHO8,47,73,56
24/06/2015,https://t.co/JQeiNNEHO8,LINK,0,entity,d4ed9d7e-8a5d-47a2-9b32-111761de0b0d,Find everything you need to keep your pet lookin' and feelin' cool this summer http://t.co/LYoAEtMKFy #SummerVibes https://t.co/JQeiNNEHO8,47,73,56
24/06/2015,#PrimePet,HASHTAG,0,entity,92cf881e-3a25-4198-b87f-3b12b6257efa,Mine! #PrimePet https://t.co/ACVoqrpajB,46,84,59
24/06/2015,https://t.co/ACVoqrpajB,LINK,0,entity,92cf881e-3a25-4198-b87f-3b12b6257efa,Mine! #PrimePet https://t.co/ACVoqrpajB,46,84,59
24/06/2015,win,OTHER,0.441551745,phrase,7c6613d9-35f8-4e4d-9462-bec5ab799a06,Follow amazon and retweet for a chance to win http://t.co/76HUOSZq7m   Rules http://t.co/4z05LXiZ6C #AmazonSweeps http://t.co/Zv0Ygchk50,2598,267,1782
