keyword,keywordType,avgSentiment,totalRT,totalFav,totalPop,topTweet,topRT,topFav,topPop
#innovation,HASHTAG,0.011620741,1205,427,913,A technological advancement from @IBMResearch opens the door to 400 Gbps internet http://t.co/Vfiklz7rVv  #innovation http://t.co/drz0z4JZfF,116,35,87
#IBMSessions,HASHTAG,0.008994119,937,268,683,Enjoy a new track we created w/ James Murphy &amp; tennis data on the @IBMcloud https://t.co/bg8SYulLu1 #IBMSessions,96,12,66
#Mainframe50,HASHTAG,6.95E-12,1006,341,765,"50 years ago today, the IBM System/360 mainframe was introduced: http://t.co/gQxCbLZHwx  #Mainframe50 http://t.co/tppkkFwPCb",439,165,343
#ApacheSpark,HASHTAG,0.102851937,670,993,782,IBM announces major commitment to advance #ApacheSpark: http://t.co/gXYQgVia3l  #SparkInsight http://t.co/1pwaOs0uTD,545,923,677
Smarter games,OTHER,0.75,405,874,569,Smarter games are #MadeWithIBM. Here's how we put @rolandgarros in your pocket: http://t.co/jgTTBLJOk1 http://t.co/elQrpi7C27,331,851,513
http://t.co/gXYQgVia3l,LINK,0,572,936,699,IBM announces major commitment to advance #ApacheSpark: http://t.co/gXYQgVia3l  #SparkInsight http://t.co/1pwaOs0uTD,545,923,677
#IBMCloud,HASHTAG,0.013243648,1391,568,1082,RT @IBMcloud: A @Forrester survey finds #IBMCloud the most popular multi-vendor hosted private cloud. http://t.co/2LbYYvrNnv http://t.co/CR•À_,164,137,154
new initiative,OTHER,0.672352016,643,829,708,RT @tim_cook: Japan Post's new initiative has the power to improve care and quality of life for millions of seniors. http://t.co/vblxDgpSZm,643,829,708
landmark partnership,OTHER,0,1378,1401,1386,IBM and @Twitter announce landmark partnership: https://t.co/zRnbJYsVzC #IBMandTwitter http://t.co/cgJ3u8ivtq,1378,1401,1386
@IBM_NEWS,USERNAME,3.20E-06,703,265,539,RT @IBM_NEWS: On the big screen in #TimesSquare: #Apple &amp; #IBM establish partnership to transform enterprise mobility. [PHOTO] http://t.co/•À_,141,87,122
https://t.co/zRnbJYsVzC,LINK,0,1378,1401,1386,IBM and @Twitter announce landmark partnership: https://t.co/zRnbJYsVzC #IBMandTwitter http://t.co/cgJ3u8ivtq,1378,1401,1386
James Murphy,OTHER,5.91E-04,784,526,681,"RT @pitchfork: James Murphy is releasing an album of remixes of sounds from U.S. Open tennis matches. Preview ""Match 176"" http://t.co/ykc9a•À_",94,148,112
#WatsonAnalytics,HASHTAG,2.39E-13,1214,663,1008,See how IBM #WatsonAnalytics can help every business uncover new opportunities: http://t.co/YaSKYoo0BN #NewWayToWork http://t.co/exIXZItXhs,57,212,111
#IBMedu,HASHTAG,0,1137,1634,1309,These 6 graduates just finished high school &amp; college in 4 years. Here's how: http://t.co/2Q0EOqlKBs  #IBMedu http://t.co/I0kr3talig,992,1545,1185
Twitter,OTHER,2.47E-04,2581,1533,2204,RT @twitter: Twitter and IBM partner to help companies make smarter decisions using Twitter data: https://t.co/Jgeutik3DV http://t.co/QXXIR•À_,1372,968,1230
#IBMThink,HASHTAG,3.92E-07,821,499,701,The world is becoming smarter every day. See how in our new TV spots: http://t.co/lOysNk4L6h #IBMThink http://t.co/QcDjbjcBRb,147,53,114
@nytimes,USERNAME,3.90E-06,597,220,458,Apple and IBM in Broad Software Deal for Businesses http://t.co/NOUuPQ4qU1 via @nytimes,93,46,76
@coastw,USERNAME,0.015625,1416,548,1091,"RT @coastw: IBMers can choose between Macs or PCs... plans to deploy 50,000 Apple MacBooks this year http://t.co/QeeAfvB34e @ibm",180,94,149
using Twitter data,OTHER,0.75,1372,968,1230,RT @twitter: Twitter and IBM partner to help companies make smarter decisions using Twitter data: https://t.co/Jgeutik3DV http://t.co/QXXIR•À_,1372,968,1230
#IBMWatsonHealth,HASHTAG,6.06E-04,666,320,542,RT @IBMWatson: How #IBMWatsonHealth is empowering patients and transforming healthcare: http://t.co/49caRCHZW1 http://t.co/2zrITySpez,132,59,106
Arkansas,OTHER,0,583,402,519,IBM Statement on Legislation in Arkansas and Indiana http://t.co/XOdI0CTJ5h,583,402,519
enterprising apps,OTHER,0.643999994,949,925,940,"RT @tim_cook: Here come the most enterprising apps ever! IBM MobileFirst for iOS, Apple - Business - Mobile Enterprise Apps http://t.co/vXF•À_",949,925,940
https://t.co/Jgeutik3DV,LINK,0,1372,968,1230,RT @twitter: Twitter and IBM partner to help companies make smarter decisions using Twitter data: https://t.co/Jgeutik3DV http://t.co/QXXIR•À_,1372,968,1230
@businessinsider,USERNAME,-6.81E-07,1389,668,1128,Tim Cook: Here's how IBM is going to help us http://t.co/JuJFsmJEzF via @businessinsider http://t.co/wirJn6ZhXV,199,79,156
http://t.co/2Q0EOqlKBs,LINK,0,1028,1570,1217,These 6 graduates just finished high school &amp; college in 4 years. Here's how: http://t.co/2Q0EOqlKBs  #IBMedu http://t.co/I0kr3talig,992,1545,1185
@ibmdesign,USERNAME,1.21E-06,864,347,677,RT @ibmdesign: RT if you know what this is... #ibmdesign http://t.co/4s9PJiKXK6,452,62,315
#SparkInsight,HASHTAG,0.073434675,1218,1896,1454,IBM announces major commitment to advance #ApacheSpark: http://t.co/gXYQgVia3l  #SparkInsight http://t.co/1pwaOs0uTD,545,923,677
