date,close
1.3373E+12,38.23
1.33756E+12,34.029999
1.33764E+12,31
1.33773E+12,32
1.33782E+12,33.029999
1.3379E+12,31.91
1.33825E+12,28.84
1.33834E+12,28.190001
1.33842E+12,29.6
1.33851E+12,27.719999
1.33877E+12,26.9
1.33885E+12,25.870001
1.33894E+12,26.809999
1.33903E+12,26.309999
1.33911E+12,27.1
1.33937E+12,27.01
1.33946E+12,27.4
1.33955E+12,27.27
1.33963E+12,28.290001
1.33972E+12,30.01
1.33998E+12,31.41
1.34006E+12,31.91
1.34015E+12,31.6
1.34024E+12,31.84
1.34032E+12,33.049999
1.34058E+12,32.060001
1.34067E+12,33.099998
1.34076E+12,32.23
1.34084E+12,31.360001
1.34093E+12,31.1
1.34119E+12,30.77
1.34127E+12,31.200001
1.34145E+12,31.469999
1.34153E+12,31.73
1.34179E+12,32.169998
1.34188E+12,31.469999
1.34196E+12,30.969999
1.34205E+12,30.809999
1.34214E+12,30.719999
1.3424E+12,28.25
1.34248E+12,28.09
1.34257E+12,29.110001
1.34266E+12,29
1.34274E+12,28.76
1.343E+12,28.75
1.34309E+12,28.450001
1.34317E+12,29.34
1.34326E+12,26.85
1.34335E+12,23.709999
1.34361E+12,23.15
1.34369E+12,21.709999
1.34378E+12,20.879999
1.34387E+12,20.040001
1.34395E+12,21.09
1.34421E+12,21.92
1.3443E+12,20.719999
1.34438E+12,20.719999
1.34447E+12,21.01
1.34456E+12,21.809999
1.34482E+12,21.6
1.3449E+12,20.379999
1.34499E+12,21.200001
1.34508E+12,19.870001
1.34516E+12,19.049999
1.34542E+12,20.01
1.34551E+12,19.16
1.34559E+12,19.440001
1.34568E+12,19.440001
1.34577E+12,19.41
1.34603E+12,19.15
1.34611E+12,19.34
1.3462E+12,19.1
1.34628E+12,19.09
1.34637E+12,18.059999
1.34672E+12,17.73
1.3468E+12,18.58
1.34689E+12,18.959999
1.34698E+12,18.98
1.34724E+12,18.809999
1.34732E+12,19.43
1.34741E+12,20.93
1.34749E+12,20.709999
1.34758E+12,22
1.34784E+12,21.52
1.34793E+12,21.870001
1.34801E+12,23.290001
1.3481E+12,22.59
1.34819E+12,22.860001
1.34844E+12,20.790001
1.34853E+12,20.280001
1.34862E+12,20.620001
1.3487E+12,20.32
1.34879E+12,21.66
1.34905E+12,21.99
1.34914E+12,22.27
1.34922E+12,21.83
1.34931E+12,21.950001
1.3494E+12,20.91
1.34965E+12,20.4
1.34974E+12,20.23
1.34983E+12,19.639999
1.34991E+12,19.75
1.35E+12,19.52
1.35026E+12,19.52
1.35035E+12,19.48
1.35043E+12,19.879999
1.35052E+12,18.98
1.3506E+12,19
1.35086E+12,19.32
1.35095E+12,19.5
1.35104E+12,23.23
1.35112E+12,22.559999
1.35121E+12,21.940001
1.35164E+12,21.110001
1.35173E+12,21.209999
1.35181E+12,21.18
1.35207E+12,21.25
1.35216E+12,21.17
1.35225E+12,20.469999
1.35233E+12,19.99
1.35242E+12,19.209999
1.35268E+12,20.07
1.35276E+12,19.860001
1.35285E+12,22.360001
1.35294E+12,22.17
1.35302E+12,23.559999
1.35328E+12,22.92
1.35337E+12,23.1
1.35346E+12,24.32
1.35363E+12,24
1.35389E+12,25.940001
1.35397E+12,26.15
1.35406E+12,26.360001
1.35415E+12,27.32
1.35423E+12,28
1.35449E+12,27.040001
1.35458E+12,27.459999
1.35467E+12,27.709999
1.35475E+12,26.969999
1.35484E+12,27.49
1.3551E+12,27.84
1.35518E+12,27.98
1.35527E+12,27.58
1.35536E+12,28.24
1.35544E+12,26.809999
1.3557E+12,26.75
1.35579E+12,27.709999
1.35588E+12,27.41
1.35596E+12,27.360001
1.35605E+12,26.26
1.35631E+12,26.93
1.35648E+12,26.51
1.35657E+12,26.049999
1.35665E+12,25.91
1.35691E+12,26.620001
1.35708E+12,28
1.35717E+12,27.77
1.35726E+12,28.76
1.35752E+12,29.42
1.3576E+12,29.059999
1.35769E+12,30.59
1.35778E+12,31.299999
1.35786E+12,31.719999
1.35812E+12,30.950001
1.35821E+12,30.1
1.35829E+12,29.85
1.35838E+12,30.139999
1.35847E+12,29.66
1.35881E+12,30.73
1.3589E+12,30.82
1.35899E+12,31.08
1.35907E+12,31.540001
1.35933E+12,32.470001
1.35942E+12,30.790001
1.3595E+12,31.24
1.35959E+12,30.98
1.35968E+12,29.73
1.35994E+12,28.110001
1.36002E+12,28.639999
1.36011E+12,29.049999
1.3602E+12,28.65
1.36028E+12,28.549999
1.36054E+12,28.26
1.36063E+12,27.370001
1.36071E+12,27.91
1.3608E+12,28.5
1.36089E+12,28.32
1.36123E+12,28.93
1.36132E+12,28.459999
1.3614E+12,27.280001
1.36149E+12,27.129999
1.36175E+12,27.27
1.36184E+12,27.389999
1.36192E+12,26.870001
1.36201E+12,27.25
1.3621E+12,27.780001
1.36236E+12,27.719999
1.36244E+12,27.52
1.36253E+12,27.450001
1.36261E+12,28.58
1.3627E+12,27.959999
1.36296E+12,28.139999
1.36305E+12,27.83
1.36313E+12,27.08
1.36322E+12,27.040001
1.36331E+12,26.65
1.36356E+12,26.49
1.36365E+12,26.549999
1.36374E+12,25.860001
1.36382E+12,25.74
1.36391E+12,25.73
1.36417E+12,25.129999
1.36426E+12,25.209999
1.36434E+12,26.09
1.36443E+12,25.58
1.36477E+12,25.530001
1.36486E+12,25.42
1.36495E+12,26.25
1.36503E+12,27.07
1.36512E+12,27.389999
1.36538E+12,26.85
1.36547E+12,26.59
1.36555E+12,27.57
1.36564E+12,28.02
1.36572E+12,27.4
1.36598E+12,26.52
1.36607E+12,26.92
1.36616E+12,26.629999
1.36624E+12,25.690001
1.36633E+12,25.73
1.36659E+12,25.969999
1.36668E+12,25.98
1.36676E+12,26.110001
1.36685E+12,26.139999
1.36693E+12,26.85
1.36719E+12,26.98
1.36728E+12,27.77
1.36737E+12,27.43
1.36745E+12,28.969999
1.36754E+12,28.309999
1.3678E+12,27.57
1.36788E+12,26.889999
1.36797E+12,27.120001
1.36806E+12,27.040001
1.36814E+12,26.68
1.3684E+12,26.82
1.36849E+12,27.07
1.36858E+12,26.6
1.36866E+12,26.129999
1.36875E+12,26.25
1.36901E+12,25.76
1.36909E+12,25.66
1.36918E+12,25.16
1.36927E+12,25.059999
1.36935E+12,24.309999
1.3697E+12,24.1
1.36979E+12,23.32
1.36987E+12,24.549999
1.36996E+12,24.35
1.37022E+12,23.85
1.3703E+12,23.52
1.37039E+12,22.9
1.37048E+12,22.969999
1.37056E+12,23.290001
1.37082E+12,24.33
1.37091E+12,24.030001
1.371E+12,23.77
1.37108E+12,23.73
1.37117E+12,23.629999
1.37143E+12,24.02
1.37151E+12,24.209999
1.3716E+12,24.309999
1.37169E+12,23.9
1.37177E+12,24.530001
1.37203E+12,23.940001
1.37212E+12,24.25
1.3722E+12,24.16
1.37229E+12,24.66
1.37238E+12,24.879999
1.37264E+12,24.809999
1.37272E+12,24.41
1.37281E+12,24.52
1.37298E+12,24.370001
1.37324E+12,24.709999
1.37333E+12,25.48
1.37341E+12,25.799999
1.3735E+12,25.809999
1.37359E+12,25.91
1.37385E+12,26.280001
1.37393E+12,26.32
1.37402E+12,26.65
1.37411E+12,26.18
1.37419E+12,25.879999
1.37445E+12,26.049999
1.37454E+12,26.129999
1.37462E+12,26.51
1.37471E+12,34.360001
1.3748E+12,34.009998
1.37506E+12,35.43
1.37514E+12,37.630001
1.37523E+12,36.799999
1.37532E+12,37.490002
1.3754E+12,38.049999
1.37566E+12,39.189999
1.37575E+12,38.549999
1.37583E+12,38.869999
1.37592E+12,38.540001
1.37601E+12,38.5
1.37627E+12,38.220001
1.37635E+12,37.02
1.37644E+12,36.650002
1.37652E+12,36.560001
1.37661E+12,37.080002
1.37687E+12,37.810001
1.37696E+12,38.41
1.37704E+12,38.32
1.37713E+12,38.549999
1.37722E+12,40.549999
1.37748E+12,41.34
1.37756E+12,39.639999
1.37765E+12,40.549999
1.37773E+12,41.279999
1.37782E+12,41.290001
1.37817E+12,41.869999
1.37825E+12,41.779999
1.37834E+12,42.66
1.37843E+12,43.950001
1.37868E+12,44.040001
1.37877E+12,43.599998
1.37886E+12,45.040001
1.37894E+12,44.75
1.37903E+12,44.310001
1.37929E+12,42.509998
1.37938E+12,45.07
1.37946E+12,45.23
1.37955E+12,45.98
1.37964E+12,47.490002
1.37989E+12,47.189999
1.37998E+12,48.450001
1.38007E+12,49.459999
1.38015E+12,50.389999
1.38024E+12,51.240002
1.3805E+12,50.23
1.38059E+12,50.419998
1.38067E+12,50.279999
1.38076E+12,49.18
1.38084E+12,51.040001
