date,close
1.16778E+12,234.03
1.16787E+12,241.87
1.16796E+12,243.84
1.16821E+12,242.03
1.1683E+12,242.99
1.16839E+12,244.97
1.16847E+12,250.11
1.16856E+12,252.75
1.16891E+12,252.39
1.16899E+12,248.89
1.16908E+12,244.16
1.16916E+12,245.12
1.16942E+12,240.66
1.16951E+12,239.76
1.1696E+12,249.78
1.16968E+12,244.29
1.16977E+12,248.17
1.17003E+12,246.48
1.17012E+12,247.41
1.1702E+12,251
1.17029E+12,241.12
1.17037E+12,240.99
1.17063E+12,233.81
1.17072E+12,235.98
1.17081E+12,235.24
1.17089E+12,235.75
1.17098E+12,231.18
1.17124E+12,229.37
1.17132E+12,229.78
1.17141E+12,233.2
1.1715E+12,230.97
1.17158E+12,235.2
1.17193E+12,236.29
1.17202E+12,238.17
1.1721E+12,238.16
1.17219E+12,235.55
1.17245E+12,232.7
1.17253E+12,224.61
1.17262E+12,224.95
1.17271E+12,224.34
1.17279E+12,219.56
1.17305E+12,220.69
1.17314E+12,229
1.17323E+12,228.05
1.17331E+12,227.59
1.1734E+12,226.71
1.17366E+12,227.6
1.17374E+12,221.74
1.17383E+12,224.22
1.17392E+12,223.32
1.174E+12,220.65
1.17426E+12,223.84
1.17435E+12,222.86
1.17444E+12,228.5
1.17452E+12,231.25
1.17461E+12,231.15
1.17487E+12,232.73
1.17495E+12,232.04
1.17504E+12,231.17
1.17513E+12,230.69
1.17521E+12,229.31
1.17547E+12,229.49
1.17556E+12,236.54
1.17564E+12,235.75
1.17573E+12,235.99
1.17608E+12,234.34
1.17616E+12,233.48
1.17625E+12,232.5
1.17634E+12,233.93
1.17642E+12,233.38
1.17668E+12,237.37
1.17677E+12,236.64
1.17685E+12,238.24
1.17694E+12,236.06
1.17703E+12,241.48
1.17729E+12,239.78
1.17737E+12,239
1.17746E+12,239.23
1.17755E+12,240.83
1.17763E+12,239.74
1.17789E+12,235.93
1.17798E+12,234.73
1.17806E+12,233.12
1.17815E+12,236.85
1.17824E+12,235.8
