ID,Source Text,Summary,Detected Language,Detected Language Strength,Document Sentiment,Document Sentiment +/-,Model Sentiment,Model Sentiment +/-,Phrase Intensifier,Phrase Negator,Phrase,Phrase Sentiment,Phrase Sentiment +/-,Suggested Phrase,Entity,Entity Type,Entity Sentiment,Entity Sentiment +/-,Entity Sentiment Evidence,Theme,Theme Sentiment,Theme Sentiment +/-,Theme Sentiment Evidence,Wikipedia™ Category,Wikipedia Sub Category,Wikipedia Category Strength,User Category,User Category Strength,User Category Sentiment,User Category Sentiment +/-,Query Category,Query Sub Category,Query Category Sentiment,Query Category Sentiment +/-,Query Category Relevancy,Intention Type,Who,What,Evidence
691aeef2-9cdb-4866-acb5-2541d099b793,"We'll be cheering for @CTurlington this Sunday during the @LondonMarathon. Best of luck, Christy! @EveryMomCounts http://t.co/VvlLRgPZFc","Best of luck, Christy!... ",English,13,0.858158171,positive,,,,,cheering,0.515274525,positive,, @EveryMomCounts,Person,0,neutral,2,,,,,Magic,Amulets,0.513186038,,,,,,,,,,,,,
691aeef2-9cdb-4866-acb5-2541d099b793,"We'll be cheering for @CTurlington this Sunday during the @LondonMarathon. Best of luck, Christy! @EveryMomCounts http://t.co/VvlLRgPZFc","Best of luck, Christy!... ",English,13,0.858158171,positive,,,,,,,,,  http://t.co/VvlLRgPZFc,Regex,0,neutral,0,,,,,,,,,,,,,,,,,,,,
b2dcfca9-5b86-4ffb-b462-702bc2e646b4,Thanks @Pharrell for an unforgettable Earth Day celebration! http://t.co/UT2zxbCBW9,Thanks  @Pharrell for an unforgettable Earth Day celebration!... ,English,7,1.095000029,positive,,,,,unforgettable,1.210000038,positive,, @Pharrell,Person,1.095000029,positive,7,,,,,,,,,,,,,,,,,,,,
b2dcfca9-5b86-4ffb-b462-702bc2e646b4,Thanks @Pharrell for an unforgettable Earth Day celebration! http://t.co/UT2zxbCBW9,Thanks  @Pharrell for an unforgettable Earth Day celebration!... ,English,7,1.095000029,positive,,,,,celebration,0.980000019,positive,,  http://t.co/UT2zxbCBW9,Regex,0,neutral,0,,,,,,,,,,,,,,,,,,,,
aead020d-a752-417b-a921-f4fca1476b5c,"This Earth Day, and every day, we're committed to leaving the world better than we found it. http://t.co/iIHRXEwpfA http://t.co/SIyZVAeznL","This Earth Day, and every day, we're committed to leaving the world better than we found it... ",English,22,0,neutral,,,,,,,,,  http://t.co/iIHRXEwpfA,Regex,0,neutral,0,,,,,Holidays,,0.460294247,,,,,,,,,,,,,
aead020d-a752-417b-a921-f4fca1476b5c,"This Earth Day, and every day, we're committed to leaving the world better than we found it. http://t.co/iIHRXEwpfA http://t.co/SIyZVAeznL","This Earth Day, and every day, we're committed to leaving the world better than we found it... ",English,22,0,neutral,,,,,,,,,  http://t.co/SIyZVAeznL,Regex,0,neutral,0,,,,,Holidays,Catholic_holy_days,0.501047015,,,,,,,,,,,,,
8ea37b44-aabe-4809-b7a4-342bf8f338c6,We're investing in renewable energy from Oregon to Sichuan. Read the latest on our progress at http://t.co/iIHRXEwpfA http://t.co/yNv6PfpGJN,We're investing in renewable energy from Oregon to Sichuan... Read the latest on our progress at   http://t.co/iIHRXEwpfA   http://t.co/yNv6PfpGJN... ,English,17,0.125745848,neutral,,,in,,renewable energy,0.423999995,positive,,  http://t.co/iIHRXEwpfA,Regex,0,neutral,0,,,,,Energy,,1,Renewable Energy,0.672215879,0.125745848,neutral,,,,,,,,,
8ea37b44-aabe-4809-b7a4-342bf8f338c6,We're investing in renewable energy from Oregon to Sichuan. Read the latest on our progress at http://t.co/iIHRXEwpfA http://t.co/yNv6PfpGJN,We're investing in renewable energy from Oregon to Sichuan... Read the latest on our progress at   http://t.co/iIHRXEwpfA   http://t.co/yNv6PfpGJN... ,English,17,0.125745848,neutral,,,,,latest,-0.46154511,negative,,  http://t.co/yNv6PfpGJN,Regex,0,neutral,0,,,,,Energy,Renewable_energy_policy,0.673804045,,,,,,,,,,,,,
8ea37b44-aabe-4809-b7a4-342bf8f338c6,We're investing in renewable energy from Oregon to Sichuan. Read the latest on our progress at http://t.co/iIHRXEwpfA http://t.co/yNv6PfpGJN,We're investing in renewable energy from Oregon to Sichuan... Read the latest on our progress at   http://t.co/iIHRXEwpfA   http://t.co/yNv6PfpGJN... ,English,17,0.125745848,neutral,,,,,progress,0.414782643,positive,,,,,,,,,,,Energy,Renewable_energy_commercialization,0.663624585,,,,,,,,,,,,,
8ea37b44-aabe-4809-b7a4-342bf8f338c6,We're investing in renewable energy from Oregon to Sichuan. Read the latest on our progress at http://t.co/iIHRXEwpfA http://t.co/yNv6PfpGJN,We're investing in renewable energy from Oregon to Sichuan... Read the latest on our progress at   http://t.co/iIHRXEwpfA   http://t.co/yNv6PfpGJN... ,English,17,0.125745848,neutral,,,,,,,,,,,,,,,,,,Energy,Renewable-energy_economy,0.55749774,,,,,,,,,,,,,
8ea37b44-aabe-4809-b7a4-342bf8f338c6,We're investing in renewable energy from Oregon to Sichuan. Read the latest on our progress at http://t.co/iIHRXEwpfA http://t.co/yNv6PfpGJN,We're investing in renewable energy from Oregon to Sichuan... Read the latest on our progress at   http://t.co/iIHRXEwpfA   http://t.co/yNv6PfpGJN... ,English,17,0.125745848,neutral,,,,,,,,,,,,,,,,,,Energy,Renewable-energy_law,0.550752044,,,,,,,,,,,,,
8ea37b44-aabe-4809-b7a4-342bf8f338c6,We're investing in renewable energy from Oregon to Sichuan. Read the latest on our progress at http://t.co/iIHRXEwpfA http://t.co/yNv6PfpGJN,We're investing in renewable energy from Oregon to Sichuan... Read the latest on our progress at   http://t.co/iIHRXEwpfA   http://t.co/yNv6PfpGJN... ,English,17,0.125745848,neutral,,,,,,,,,,,,,,,,,,Energy,Sustainable_energy,0.533058107,,,,,,,,,,,,,
f4f3ceb8-87db-4fe4-a938-5ff42282f5f3,Olá São Paulo and parabéns to our team at the new Apple Store Morumbi! http://t.co/9HS86MlZTH,Olá São Paulo and parabéns to our team at the new Apple Store Morumbi!... ,English,13,0,neutral,,,,,,,,,  http://t.co/9HS86MlZTH,Regex,0,neutral,0,,,,,,,,,,,,,,,,,,,,
